COLUMN,name_type,val_range,min,max
Q263_2,select_one GMS1,0.0-9.0,0.0,9.0
Q271_2,select_one GMS1,0.0-9.0,0.0,9.0
Q272_2,select_one GMS2,0.0-9.0,0.0,9.0
Q281_2,select_one GMS2,0.0-8.0,0.0,8.0
Q291_2,select_one GMS1,0.0-9.0,0.0,9.0
Q292_2,select_one GMS1,0.0-9.0,0.0,9.0
Q293_2,select_one GMS1,0.0-9.0,0.0,9.0
Q294_2,select_one GMS1,0.0-9.0,0.0,9.0
Q301_2,select_one GMS1,0.0-8.0,0.0,8.0
Q311_2,select_one GMS12,0.0-9.0,0.0,9.0
Q312_2,select_one GMS12,0.0-9.0,0.0,9.0
Q313_2,select_one GMS12,0.0-9.0,0.0,9.0
Q321_2,select_one GMS1,0.0-9.0,0.0,9.0
Q322_2,select_one GMS1,0.0-9.0,0.0,9.0
Q331_2,select_one GMS3,0.0-9.0,0.0,9.0
Q332_2,select_one GMS3,0.0-2.0,0.0,2.0
Q333_2,select_one GMS3,0.0-2.0,0.0,2.0
Q334_2,select_one GMS3,0.0-2.0,0.0,2.0
Q335_2,select_one GMS2,0.0-2.0,0.0,2.0
Q341_2,select_one GMS13,0.0-8.0,0.0,8.0
Q351_2,select_one GMS13,0.0-8.0,0.0,8.0
Q352_2,select_one GMS13,0.0-9.0,0.0,9.0
Q361_2,select_one GMS1,0.0-9.0,0.0,9.0
Q362_2,select_one GMS1,0.0-9.0,0.0,9.0
Q363_2,select_one GMS1,0.0-9.0,0.0,9.0
Q364_2,select_one GMS1,0.0-9.0,0.0,9.0
Q365_2,select_one GMS1,0.0-9.0,0.0,9.0
Q366_2,select_one yes_no,0.0-1.0,0.0,1.0
Q367_2,select_one GMS1,0.0-1.0,0.0,1.0
Q368_2,select_one GMS4,0.0-1.0,0.0,1.0
Q369_2,select_one GMS1,0.0-1.0,0.0,1.0
Q3610_2,select_one GMS4,0.0-2.0,0.0,2.0
Q371_2,select_one GMS1,0.0-9.0,0.0,9.0
Q381_2,select_one GMS1,0.0-9.0,0.0,9.0
Q391_2,select_one GMS1,0.0-9.0,0.0,9.0
Q401_2,select_one GMS2,0.0-2.0,0.0,2.0
Q451_2,select_one GMS2,0.0-2.0,0.0,2.0
Q452_2,select_one GMS1,0.0-8.0,0.0,8.0
Q471_2,select_one GMS5,0.0-2.0,0.0,2.0
Q481_2,select_one GMS2,0.0-8.0,0.0,8.0
Q491_2,select_one GMS2,0.0-9.0,0.0,9.0
Q501_2,select_one GMS2,0.0-9.0,0.0,9.0
Q502_2,select_one GMS2,0.0-9.0,0.0,9.0
Q511_2,select_one GMS2,0.0-8.0,0.0,8.0
Q512_2,select_one GMS2,0.0-8.0,0.0,8.0
Q521_2,select_one GMS1,0.0-8.0,0.0,8.0
Q522_2,select_one GMS1,0.0-8.0,0.0,8.0
Q523_2,select_one GMS1,0.0-8.0,0.0,8.0
Q531_2,select_one GMS1,0.0-9.0,0.0,9.0
Q532_2,select_one GMS1,0.0-9.0,0.0,9.0
Q533_2,select_one GMS1,0.0-9.0,0.0,9.0
Q541_2,select_one GMS1,0.0-8.0,0.0,8.0
Q542_2,select_one GMS2,0.0-2.0,0.0,2.0
Q543_2,select_one GMS2,0.0-2.0,0.0,2.0
Q544_2,select_one GMS2,0.0-2.0,0.0,2.0
Q545_2,select_one GMS2,0.0-2.0,0.0,2.0
Q551_2,select_one GMS1,0.0-9.0,0.0,9.0
Q561_2,select_one GMS2,0.0-2.0,0.0,2.0
Q571_2,select_one GMS1,0.0-1.0,0.0,1.0
Q581_2,select_one GMS1,0.0-9.0,0.0,9.0
Q582_2,select_one GMS1,0.0-1.0,0.0,1.0
Q611_2,select_one GMS2,0.0-8.0,0.0,8.0
Q612_2,select_one GMS2,0.0-8.0,0.0,8.0
Q613_2,select_one GMS2,0.0-8.0,0.0,8.0
Q621_2,select_one GMS2,0.0-8.0,0.0,8.0
Q631_2,select_one GMS2,0.0-8.0,0.0,8.0
Q641_2,select_one GMS2,0.0-9.0,0.0,9.0
Q642_2,select_one GMS2,0.0-9.0,0.0,9.0
Q643_2,select_one GMS2,0.0-9.0,0.0,9.0
Q644_2,select_one GMS2,0.0-9.0,0.0,9.0
Q651_2,select_one GMS2,0.0-8.0,0.0,8.0
Q652_2,select_one GMS2,0.0-2.0,0.0,2.0
Q711_2,select_one GMS2,0.0-8.0,0.0,8.0
Q721_2,select_one GMS2,0.0-8.0,0.0,8.0
Q722_2,select_one GMS2,0.0-8.0,0.0,8.0
Q731_2,select_one GMS2,0.0-8.0,0.0,8.0
Q741_2,select_one GMS1,0.0-9.0,0.0,9.0
Q751_2,select_one GMS1,0.0-9.0,0.0,9.0
Q752_2,select_one GMS1,0.0-9.0,0.0,9.0
Q753_2,select_one GMS2,0.0-9.0,0.0,9.0
Q761_2,select_one GMS1,0.0-9.0,0.0,9.0
Q771_2,select_one GMS2,0.0-9.0,0.0,9.0
Q781_2,select_one GMS2,0.0-9.0,0.0,9.0
Q871_2,select_one GMS2,0.0-8.0,0.0,8.0
Q881_2,select_one GMS1,0.0-8.0,0.0,8.0
Q882_2,select_one GMS1,0.0-8.0,0.0,8.0
Q891_2,select_one GMS1,0.0-8.0,0.0,8.0
Q901_2,select_one GMS2,0.0-9.0,0.0,9.0
Q911_2,select_one GMS2,0.0-9.0,0.0,9.0
Q921_2,select_one GMS1,0.0-8.0,0.0,8.0
Q922_2,select_one GMS1,0.0-8.0,0.0,8.0
Q923_2,select_one GMS1,0.0-8.0,0.0,8.0
Q931_2,select_one GMS1,0.0-9.0,0.0,9.0
Q941_2,select_one GMS1,0.0-1.0,0.0,1.0
Q951_2,select_one GMS1,0.0-9.0,0.0,9.0
Q952_2,select_one GMS1,0.0-9.0,0.0,9.0
Q961_2,select_one GMS2,0.0-9.0,0.0,9.0
Q971_2,select_one GMS2,0.0-9.0,0.0,9.0
Q981_2,select_one GMS2,0.0-9.0,0.0,9.0
Q982_2,select_one GMS2,0.0-9.0,0.0,9.0
Q991_2,select_one GMS19,0.0-9.0,0.0,9.0
Q1001_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1002_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1003_2,text,"9, 0, يقول بأن أحد الجيران قد ضربه, لا, كلا", , 
Q1011_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1012_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1021_2,select_one GMS1,0.0-8.0,0.0,8.0
Q1022_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1031_2,select_one GMS2,0.0-2.0,0.0,2.0
Q1041_2,select_one GMS14,0.0-9.0,0.0,9.0
Q1042_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1043_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1044_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1051_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1052_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1061_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1131_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1141_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1151_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1152_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1153_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1161_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1171_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1181_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1182_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1191_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1201_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1211_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1221_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1222_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1231_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1232_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1233_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1241_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1242_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1251_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1271_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1281_2,select_one GMS1,0.0-8.0,0.0,8.0
Q1291_2,select_one GMS1,0.0-8.0,0.0,8.0
Q1301_2,select_one GMS15,0.0-8.0,0.0,8.0
Q1302_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1303_2,select_one GMS16,0.0-8.0,0.0,8.0
Q1304_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1305_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1306_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1307_2,select_one GMS1,0.0-8.0,0.0,8.0
Q1351_2,select_one GMS1,0.0-8.0,0.0,8.0
Q1361_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1362_2,select_one GMS1,0.0-0.0,0.0,0.0
Q1363_2,select_one GMS1,0.0-0.0,0.0,0.0
Q1364_2,select_one GMS1,0.0-0.0,0.0,0.0
Q1365_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1366_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1367_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1368_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1371_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1381_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1391_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1401_2,select_one GMS2,0.0-1.0,0.0,1.0
Q1411_2,select_one GMS2,0.0-1.0,0.0,1.0
Q1412_2,select_one GMS2,0.0-1.0,0.0,1.0
Q1421_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1431_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1441_2,select_one GMS1,0.0-9.0,0.0,9.0
IRERROR_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1451_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1452_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1453_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1454_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1551_2,select_one GMS17,0.0-8.0,0.0,8.0
Q1561_2,select_one GMS6,0.0-8.0,0.0,8.0
ICINTCOM_2,select_one GMS1,0.0-1.0,0.0,1.0
Q1581_2,select_one GMS2,0.0-2.0,0.0,2.0
Q1582_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1591_2,select_one GMS2,0.0-2.0,0.0,2.0
Q1601_2,select_one GMS2,0.0-2.0,0.0,2.0
Q1602_2,select_one GMS2,0.0-2.0,0.0,2.0
Q1611_2,select_one GMS2,0.0-2.0,0.0,2.0
Q1621_2,select_one GMS2,0.0-2.0,0.0,2.0
Q1631_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1632_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1633_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1634_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1635_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1641_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1642_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1651_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1652_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1661_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1671_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1701_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1702_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1703_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1704_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1705_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1706_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1707_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1708_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1709_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1741_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1742_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1743_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1744_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1745_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1751_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1752_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1753_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1754_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1755_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1771_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1781_2,select_one GMS2,0.0-9.0,0.0,9.0
Q1791_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1792_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1795_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1796_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1798_2,select_one GMS1,0.0-9.0,0.0,9.0
Q17910_2,select_one GMS1,0.0-9.0,0.0,9.0
Q17911_2,select_one GMS1,0.0-9.0,0.0,9.0
Q17912_2,select_one GMS1,0.0-9.0,0.0,9.0
Q17920_2,select_one GMS1,0.0-9.0,0.0,9.0
Q17922_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1801_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1802_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1803_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1804_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1805_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1806_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1807_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1808_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1809_2,select_one GMS1,0.0-9.0,0.0,9.0
Q18010_2,select_one GMS1,0.0-9.0,0.0,9.0
Q18011_2,select_one GMS1,0.0-9.0,0.0,9.0
Q18012_2,select_one GMS1,0.0-9.0,0.0,9.0
Q18013_2,select_one GMS1,0.0-9.0,0.0,9.0
Q18014_2,select_one GMS1,0.0-9.0,0.0,9.0
Q18015_2,select_one GMS1,0.0-9.0,0.0,9.0
Q18016_2,select_one GMS1,0.0-9.0,0.0,9.0
Q18017_2,select_one GMS1,0.0-9.0,0.0,9.0
Q18018_2,select_one GMS1,0.0-9.0,0.0,9.0
Q18019_2,select_one GMS1,0.0-9.0,0.0,9.0
Q18020_2,select_one GMS1,0.0-9.0,0.0,9.0
Q1811_2,select_one GMS7,0.0-3.0,0.0,3.0
Q1821_2,select_one GMS2,0.0-8.0,0.0,8.0
Q1822_2,select_one GMS2,0.0-2.0,0.0,2.0
CARELIVE_2,select_one yes_no,0.0-1.0,0.0,1.0
CAREMAR_2,select_one CAREMAR_2,1.0-4.0,1.0,4.0
CAREEDUC_2,select_one CAREEDUC_2,1.0-8.0,1.0,8.0
CJOB_2,select_one CJOB_2,1.0-99.0,1.0,99.0
CINCOM_2,select_one yes_no_na,0.0-99.0,0.0,99.0
CINCOM2_2,select_one CINCOM2_2,0.0-99.0,0.0,99.0
DAY1_2,select_one DAY                 ,0.0-2.0,0.0,2.0
DAY1A_2,integer,1.0-24.0,1.0,24.0
DAY1B_2,integer,3.0-24.0,3.0,24.0
DAY2_2,select_one DAY,0.0-2.0,0.0,2.0
DAY2A_2,integer,0.0-24.0,0.0,24.0
DAY2B_2,integer,3.0-24.0,3.0,24.0
SRQ1_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ2_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ3_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ4_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ5_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ6_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ7_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ8_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ9_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ10_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ11_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ12_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ13_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ14_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ15_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ16_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ17_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ18_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ19_2,select_one yes_no,0.0-1.0,0.0,1.0
SRQ20_2,select_one yes_no,0.0-1.0,0.0,1.0
