COLUMN,data_type,max,min,name_type,nb_categories,val_range
corage7,integer,97.0,0.0,integer,,0.0-97.0
corsex7,categorical,2.0,1.0,select_one gender,2.0,"Female,Male"
correl7,categorical,11.0,1.0,select_one relation,11.0,"Spouse,Son/Daughter,Son/Daughter-in-law,Sibling,grandchild,Other relative,Friend,neighbor,Other,Not known,No further co-residents to code"
coredu7,categorical,6.0,1.0,select_one education,6.0,"None,reads and writes,completed primary school,completed intermediate school,completed high school,completed university"
corage8,integer,97.0,0.0,integer,,0.0-97.0
corsex8,categorical,2.0,1.0,select_one gender,2.0,"Female,Male"
correl8,categorical,11.0,1.0,select_one relation,11.0,"Spouse,Son/Daughter,Son/Daughter-in-law,Sibling,grandchild,Other relative,Friend,neighbor,Other,Not known,No further co-residents to code"
coredu8,categorical,3.0,1.0,select_one education,6.0,"None,reads and writes,completed primary school,completed intermediate school,completed high school,completed university"
corage9,integer,97.0,0.0,integer,,0.0-97.0
corsex9,categorical,2.0,1.0,select_one gender,2.0,"Female,Male"
correl9,categorical,11.0,1.0,select_one relation,11.0,"Spouse,Son/Daughter,Son/Daughter-in-law,Sibling,grandchild,Other relative,Friend,neighbor,Other,Not known,No further co-residents to code"
coredu9,categorical,3.0,1.0,select_one education,6.0,"None,reads and writes,completed primary school,completed intermediate school,completed high school,completed university"
corage10,integer,76.0,73.0,integer,,73.0-76.0
corsex10,categorical,2.0,1.0,select_one gender,2.0,"Female,Male"
correl10,categorical,2.0,1.0,select_one relation,11.0,"Spouse,Son/Daughter,Son/Daughter-in-law,Sibling,grandchild,Other relative,Friend,neighbor,Other,Not known,No further co-residents to code"
coredu10,categorical,3.0,1.0,select_one education,6.0,"None,reads and writes,completed primary school,completed intermediate school,completed high school,completed university"
cars,integer,97.0,0.0,integer,,0.0-97.0
LEARN1_2,integer,777.0,0.0,integer,,0.0-777.0
LEARN2_2,integer,688.0,0.0,integer,,0.0-688.0
LEARN3_2,integer,10.0,0.0,integer,,0.0-10.0
NAME_2,categorical,1.0,0.0,select_one NAME_2,2.0,"cannot repeat name,can repeat the name"
PENCIL_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
WATCH_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
CHAIR_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
SHOES_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
ELBOW_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
SHOULD_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
HAMMER_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
PRAY_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
CHEMIST_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
REPEAT_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
RECALL_2,integer,83.0,0.0,integer,,0.0-83.0
NRECALL_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
ANIMALS_2,categorical,40.0,0.0,select_one true_false,2.0,"incorrect,correct "
WORDIMM_2,categorical,3.0,0.0,select_one WORD_2,4.0,"did not remember any word,remembered one word,remembered 2 words,remembered 3 words"
TRIALNO_2,integer,97.0,0.0,integer,,0.0-97.0
TOWN_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
CHIEF_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
STREET_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
STORE_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
ADDRESS_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
WORDDEL_2,categorical,3.0,0.0,select_one WORD_2,4.0,"did not remember any word,remembered one word,remembered 2 words,remembered 3 words"
LONGMEM_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
MONTH_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
DAY_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
YEAR_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
SEASON_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
NOD_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
POINT_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
PAPER_2,integer,3.0,0.0,integer,,0.0-3.0
CIRCLE_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
PENTAG_2,categorical,1.0,0.0,select_one true_false,2.0,"incorrect,correct "
STORY_2,integer,6.0,0.0,integer,,0.0-6.0
Q11_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q21_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q31_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q32_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q41_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q42_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q51_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q52_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q53_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q54_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q71_2,categorical,9.0,0.0,select_one GMS8,5.0,"no or normal ,error in one day,error in more than one day,no answer,not applicable "
Q72_2,categorical,9.0,0.0,select_one GMS9,5.0,"no or normal ,error in one month,error in more than one month,no answer,not applicable "
Q73_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q74_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q75_2,categorical,9.0,0.0,select_one GMS10,5.0,"no,yes,error in more than one year,no answer,not applicable "
Q76_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
IRHOME_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q81_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q82_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q83_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q91_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q92_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q93_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q101_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q102_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q111_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q161_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q162_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q163_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q164_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q141_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q142_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q151_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q171_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q181_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q191_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q201_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q211_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q221_2,categorical,9.0,0.0,select_one GMS11,5.0,"no,crying happens more than once per week,crying happens almost daily or frequently ,no answer,not applicable "
Q231_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q241_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q242_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q243_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q251_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q261_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q262_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q263_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q271_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q272_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q281_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q291_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q292_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q293_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q294_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q301_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q311_2,categorical,9.0,0.0,select_one GMS12,4.0,"never,sometimes,no answer,not applicable "
Q312_2,categorical,9.0,0.0,select_one GMS12,4.0,"never,sometimes,no answer,not applicable "
Q313_2,categorical,9.0,0.0,select_one GMS12,4.0,"never,sometimes,no answer,not applicable "
Q321_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q322_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q331_2,categorical,9.0,0.0,select_one GMS3,5.0,"Transient,clear, excessive but for some time,clear, excessive most times,no answer,not applicable "
Q332_2,categorical,2.0,0.0,select_one GMS3,5.0,"Transient,clear, excessive but for some time,clear, excessive most times,no answer,not applicable "
Q333_2,categorical,2.0,0.0,select_one GMS3,5.0,"Transient,clear, excessive but for some time,clear, excessive most times,no answer,not applicable "
Q334_2,categorical,2.0,0.0,select_one GMS3,5.0,"Transient,clear, excessive but for some time,clear, excessive most times,no answer,not applicable "
Q335_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q341_2,categorical,8.0,0.0,select_one GMS13,5.0,"no,creates problems several times per week ,creates problems daily,no answer,not applicable "
Q351_2,categorical,8.0,0.0,select_one GMS13,5.0,"no,creates problems several times per week ,creates problems daily,no answer,not applicable "
Q352_2,categorical,9.0,0.0,select_one GMS13,5.0,"no,creates problems several times per week ,creates problems daily,no answer,not applicable "
Q361_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q362_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q363_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q364_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q365_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q366_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
Q367_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q368_2,categorical,1.0,0.0,select_one GMS4,5.0,"never,a little ,a lot ,no answer,not applicable "
Q369_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q3610_2,categorical,2.0,0.0,select_one GMS4,5.0,"never,a little ,a lot ,no answer,not applicable "
Q371_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q381_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q391_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q401_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q451_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q452_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q471_2,categorical,2.0,0.0,select_one GMS5,5.0,"no,the interviewer believes it is possible but not for sure,the itnerviewer believes it is for sure,no answer,not applicable "
Q481_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q491_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q501_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q502_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q511_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q512_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q521_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q522_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q523_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q531_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q532_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q533_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q541_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q542_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q543_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q544_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q545_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q551_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q561_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q571_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q581_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q582_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q611_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q612_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q613_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q621_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q631_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q641_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q642_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q643_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q644_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q651_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q652_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q711_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q721_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q722_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q731_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q741_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q751_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q752_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q753_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q761_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q771_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q781_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q871_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q881_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q882_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q891_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q901_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q911_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q921_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q922_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q923_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q931_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q941_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q951_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q952_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q961_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q971_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q981_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q982_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q991_2,categorical,9.0,0.0,select_one GMS19,5.0,"the elderly believes he/she is wrong ,the elderly does not believe that he/she is wrong, but hesitation in the answer was noted.,the elderly does not believe that he/she is wrong with no hesitation,no answer,not applicable "
Q1001_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1002_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1003_2,text, , ,text,,"9, 0, يقول بأن أحد الجيران قد ضربه, لا, كلا"
Q1011_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1012_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1021_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1022_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1031_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1041_2,categorical,9.0,0.0,select_one GMS14,5.0,"no,these symptoms remained for a month,these symptoms are incurable ,no answer,not applicable "
Q1042_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1043_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1044_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1051_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1052_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1061_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1131_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1141_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1151_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1152_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1153_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1161_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
