,0
Q991_2,986
Q1001_2,1010
Q1002_2,1010
Q1003_2,1012
Q1011_2,1010
Q1012_2,1010
Q1021_2,988
Q1022_2,987
Q1031_2,39
Q1041_2,36
Q1042_2,35
Q1043_2,35
Q1044_2,35
Q1051_2,34
Q1052_2,34
Q1061_2,36
Q1131_2,34
Q1141_2,35
Q1151_2,926
Q1152_2,926
Q1153_2,926
Q1161_2,925
Q1171_2,34
Q1181_2,35
Q1182_2,35
Q1191_2,36
Q1201_2,35
Q1211_2,34
Q1221_2,34
Q1222_2,34
Q1231_2,34
Q1232_2,34
Q1233_2,34
Q1241_2,34
Q1242_2,36
Q1251_2,35
Q1271_2,35
Q1281_2,1015
Q1291_2,1015
Q1301_2,987
Q1302_2,987
Q1303_2,987
Q1304_2,987
Q1305_2,986
Q1306_2,986
Q1307_2,986
Q1351_2,89
Q1361_2,69
Q1362_2,35
Q1363_2,35
Q1364_2,35
Q1365_2,36
Q1366_2,536
Q1367_2,35
Q1368_2,35
Q1371_2,35
Q1381_2,35
Q1391_2,35
Q1401_2,1005
Q1411_2,1007
Q1412_2,1008
Q1421_2,1018
Q1431_2,1018
Q1441_2,37
IRERROR_2,36
Q1451_2,603
Q1452_2,602
Q1453_2,601
Q1454_2,601
Q1551_2,281
Q1561_2,281
ICINTCOM_2,271
Q1581_2,980
Q1582_2,981
Q1591_2,980
Q1601_2,980
Q1602_2,980
Q1611_2,980
Q1621_2,980
Q1631_2,27
Q1632_2,27
Q1633_2,27
Q1634_2,27
Q1635_2,27
Q1641_2,27
Q1642_2,27
Q1651_2,27
Q1652_2,27
Q1661_2,28
Q1671_2,28
Q1701_2,27
Q1702_2,27
Q1703_2,27
Q1704_2,27
Q1705_2,27
Q1706_2,27
Q1707_2,76
Q1708_2,76
Q1709_2,76
Q1741_2,27
Q1742_2,43
Q1743_2,41
Q1744_2,41
Q1745_2,41
Q1751_2,31
Q1752_2,31
Q1753_2,27
Q1754_2,27
Q1755_2,27
Q1771_2,27
Q1781_2,28
Q1791_2,27
Q1792_2,27
Q1801_2,27
Q1802_2,27
Q1803_2,27
Q1804_2,27
Q1805_2,27
Q1806_2,27
Q1807_2,27
Q1808_2,27
Q1809_2,27
Q18010_2,27
Q18011_2,27
Q18012_2,27
Q18013_2,27
Q18014_2,27
Q18015_2,27
Q18016_2,27
Q18017_2,27
Q18018_2,27
Q18019_2,27
Q18020_2,28
Q1811_2,28
Q1821_2,197
Q1822_2,197
CARELIVE_2,302
CAREMAR_2,298
CAREEDUC_2,447
CJOB_2,293
SRQ1_2,293
SRQ2_2,293
SRQ3_2,293
SRQ4_2,293
SRQ5_2,293
SRQ6_2,293
SRQ7_2,293
SRQ8_2,293
SRQ9_2,293
SRQ10_2,293
SRQ11_2,293
SRQ12_2,293
SRQ13_2,293
SRQ14_2,293
SRQ15_2,295
SRQ16_2,293
SRQ17_2,293
SRQ18_2,293
SRQ19_2,293
SRQ20_2,294
CARENEED_2,293
CAREWHO1_2,880
CAREWHO2_2,880
CUTBACK_2,880
CUTWHEN_2,1022
CUTHOUR_2,1018
CAREHELP_2,880
ZB1_2,880
ZB2_2,880
ZB3_2,880
ZB4_2,880
ZB5_2,880
ZB6_2,880
ZB7_2,880
ZB8_2,880
ZB9_2,880
ZB10_2,880
ZB11_2,880
ZB12_2,880
ZB13_2,880
ZB14_2,880
ZB15_2,880
ZB16_2,880
ZB17_2,880
ZB18_2,880
ZB19_2,880
ZB20_2,880
ZB21_2,880
ZB22_2,880
ACTIV_2,12
MENTAL_2,12
MEMORY_2,12
PUT_2,12
KEPT_2,12
FRDNAME_2,12
FAMNAME_2,12
CONVERS_2,12
WORDFIND_2,12
WORDWRG_2,12
PAST_2,13
LASTSEE_2,13
LASTDAY_2,13
ORIENT_2,12
LOSTOUT_2,12
LOSTIN_2,14
CHORES_2,12
CHOREDIS_2,880
HOBBY_2,12
MONEY_2,12
CHANGE_2,12
REASON_2,17
FEED_2,12
FEEDDIS_2,974
DRESS_2,15
DRESSDIS_2,904
TOILET_2,13
TOILDIS_2,959
MISTAKE_2,17
MUDDLED_2,12
ENDIF_2,307
HASCONF_2,362
