COLUMN,data_type,description,cat_options,val_range,min,max,distribution,perc_missing,perc_erroneous,erroneous,cut_off
Q1302_2,ordinal,Feels with discontent that he/she does not deserve these experiences,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1302.png,96.38671875,0.1848428835489834,8,4
Q1301_2,ordinal,Marked effective response,"no,the elderly talks only about his/her feelings,the elderly acts emotionally,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1301.png,96.38671875,0.1848428835489834,8,4
Q1303_2,categorical,"Feel that the experiences are a worthy punishment.

","no,the elderly feels that in general he/she deserves the trials/ experiences,the edlerly is sure enough that he/she deserves the experiences,no answer,not applicable ","0.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1303.png,96.38671875,0.1848428835489834,8,4
Q1304_2,ordinal,The interviewer seems indifferent or does not speak much about emotional reactions.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1304.png,96.38671875,0.1848428835489834,8,4
Q1022_2,categorical,"Mysterious, or almost certainly not true.","no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1022.png,96.38671875,0.0,,3
Q311_2,ordinal,during the last month,"never,sometimes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q311.png,96.2890625,0.1848428835489834,9,3
Q982_2,ordinal,Elderly says he/she deserves persecution.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q982.png,96.2890625,0.1848428835489834,9,4
Q991_2,ordinal,"Do you think you could be mistaken?
Elderly does not believe he/she is mistaken","the elderly believes he/she is wrong ,the elderly does not believe that he/she is wrong, but hesitation in the answer was noted.,the elderly does not believe that he/she is wrong with no hesitation,no answer,not applicable ","0.0,1.0,2.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q991.png,96.2890625,0.3696857670979667,9,5
Q1305_2,ordinal,"The content of delirium and / or hallucinations is annoying or oppressive, but does not provoke dissatisfaction thus it is compatible with depression.
","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1305.png,96.2890625,0.1848428835489834,8,4
Q1306_2,ordinal,"The content of delirium and / or hallucinations is fun, appreciative or great, and therefore fits in with the joyful mood.","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1306.png,96.2890625,0.1848428835489834,8,4
Q1307_2,categorical,Have there been hallucinations for a period of up to two weeks in the absence of clear symptoms of mood changes (ie before the appearance of symptoms or after they are gone),"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1307.png,96.2890625,0.1848428835489834,8,3
Q971_2,ordinal,The elderly believes in an unrealistic way that people deliberately attempt to annoy or hurt him/her,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q971.png,96.2890625,0.3696857670979667,"8,9",4
Q981_2,ordinal,Elderly says he/she has a strong feeling about it,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q981.png,96.2890625,0.1848428835489834,9,4
Q952_2,categorical,"Elderly says ""it is their fault"", and the interviewer has no doubts.","no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q952.png,96.09375,0.1848428835489834,9,3
Q961_2,ordinal,The elderly believes it is true,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q961.png,96.09375,0.1848428835489834,9,4
Q951_2,categorical,"Elderly says ""it is their fault"", but the interviewer has doubts.","no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q951.png,96.09375,0.1848428835489834,9,3
NOCTURN,categorical,Is loss or delirium worse at night or dusk?,"At dusk,At night","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/NOCTURN.png,95.8984375,0.0,,1
Q1582_2,ordinal,The eyes are wet: filled with tears or crying,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1582.png,95.80078125,0.3696857670979667,8,4
Q1611_2,ordinal,Social disturbance: It seems by looking at / listening to the participant that he/she is skeptical for no real reason,"no,yes simple,yes severe,no answer,not applicable ","0.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1611.png,95.703125,0.0,,4
Q1602_2,ordinal,Difficulties in thinking: participant seems hesitant,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1602.png,95.703125,0.0,,4
Q1601_2,ordinal,Difficulties in thinking: participant seems confused,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1601.png,95.703125,0.0,,4
Q1591_2,ordinal,Slow: Very slow in all movements,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1591.png,95.703125,0.0,,4
Q1621_2,ordinal,Focus: obvious difficulties in listening to the interview.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1621.png,95.703125,0.0,,4
Q1581_2,ordinal,It seems by looking at/ listening to the participant that he/she is sad or depressed,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1581.png,95.703125,0.0,,4
NPIADV,categorical,Did the doctor or specialist give any advice?,"no,yes,don’t know ","0.0,1.0,98.0",0,98,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/NPIADV.png,93.45703125,0.5545286506469501,98,2
NPIMED,categorical,Did the doctor or specialist prescribe any medication?,"no,yes,don’t know ","0.0,1.0,98.0",0,98,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/NPIMED.png,93.45703125,0.3696857670979667,98,2
Q1153_2,ordinal,Lose interest or enjoyment most days for at least two weeks last month.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1153.png,90.4296875,0.7393715341959335,"8,9",4
Q1151_2,ordinal,Gradually declining interests / enjoyment over the years.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1151.png,90.4296875,0.5545286506469501,"8,9",4
Q1152_2,categorical,The decline in interests / enjoyment  has occurred over the past three months.,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1152.png,90.4296875,0.7393715341959335,"8,9",3
Q1161_2,categorical,Depressed and very tense.,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1161.png,90.33203125,0.3696857670979667,"8,9",3
Q522_2,categorical,Anorexia has been present for most days for at least two weeks last month.,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q522.png,89.35546875,0.7393715341959335,8,3
Q521_2,categorical,weak appetite in the absence of any known health condition and without nausea ,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q521.png,89.35546875,0.5545286506469501,8,3
Q523_2,categorical,An increase in appetite for most days for at least two weeks last month.,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q523.png,89.16015625,0.7393715341959335,8,3
Q582_2,categorical,"Mainly due to or arising from a physical cause in the body, or noise, etc. ","no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q582.png,84.86328125,0.0,,3
Q581_2,categorical,"Difficulty is due to altered moods or thoughts, or tension (e.g. lies awake with depressed or anxious feelings or thoughts).","no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q581.png,84.86328125,0.3696857670979667,"8,9",3
Q571_2,categorical,Elderly wakes up about two or more hours before his/her usual waking time and can not go back to sleep most of the nights (this lasted for at least two weeks last month).,"no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q571.png,84.86328125,0.0,,3
Q54_2,categorical,the difference is more than 3 years,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q54.png,83.203125,13.49353049907578,"8,9",3
Q53_2,categorical,the difference is between 2 to 3 years ,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q53.png,83.203125,13.67837338262477,"8,9",3
CKINCOM_2/4,not found,not found,,1.0,1,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CINCOME4.png,83.203125,0.0,,
Q52_2,categorical,contradiction between year of birth and age provided by participant and not corrected (disregard if one year difference only),"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q52.png,83.10546875,9.796672828096119,"8,9",3
Q51_2,categorical,the participant shows clear hesitation when indicating age and year of birth,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q51.png,83.10546875,0.5545286506469501,"8,9",3
Q366_2,boolean,did you visit a doctor or specialist to treat the problem,,"0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q366.png,82.03125,0.0,,
Q544_2,ordinal,Has been suffering from a noticeable concern for most nights for at least two weeks during the past month.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q544.png,82.03125,0.0,,4
Q551_2,categorical,"Difficulty in falling asleep.  If tablets taken, rate what interviewee feels would have happened without them.","no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q551.png,81.93359375,0.1848428835489834,9,3
Q561_2,ordinal,"Sleep interrupted during the night.  (Include waking up after an initial cat nap and not being able to sleep again for some lengthy time).  
If tablets taken rate what interviewee feels would have happened without them.","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q561.png,81.93359375,0.0,,4
Q545_2,ordinal,"Over the last few nights, there has been a noticeable increase in sleep over the last two weeks","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q545.png,81.93359375,0.0,,4
Q543_2,ordinal,Elderly suffers from anxiety for most of the night and often sleeps during the day.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q543.png,81.8359375,0.0,,4
Q542_2,ordinal,"Sleeping problem (insomnia) or discontinued sleeping, or intake of medication or alcohol to help getting asleep.","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q542.png,81.8359375,0.0,,4
CONFDAY,boolean,Does it happen during the day?,,"0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CONFDAY.png,79.58984375,0.0,,
CLOUDING,boolean,Are there periods of more than 24 hours when the elderly is being alert at times and strayed at another times?,,"0.0,1.0,99.0",0,99,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CLOUDING.png,79.58984375,0.0,,
CONFNITE,boolean,Does the elderly get confused during the night? Does he/she wander? speaks incomprehensible words?,,"0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CONFNITE.png,79.58984375,0.0,,
Q882_2,categorical,Bothered or depressed by current loneliness.,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q882.png,79.00390625,0.3696857670979667,8,3
Q881_2,categorical,elderly feels loneliness and can not escape it.,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q881.png,79.00390625,0.5545286506469501,8,3
Q891_2,categorical,Worried about living alone in the future,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q891.png,79.00390625,1.293900184842884,8,3
CKINCOM_2/6,not found,not found,,1.0,1,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CINCOME6.png,77.34375,0.0,,
agepart,numeric,Age reported by participant:,,0.0-1952.0,0,1952,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/agepart.png,76.46484375,0.7393715341959335,999,100
ageinfo,numeric,Age reported by informant:,,65.0-1962.0,65,1962,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/ageinfo.png,76.46484375,0.9242144177449169,"766,999",100
agedoc,numeric,Age stated in document:,,65.0-1953.0,65,1953,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/agedoc.png,76.46484375,2.957486136783734,999,100
Q91_2,categorical,the participant says/points our that he/she doesn't know the place or address,"no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q91.png,72.8515625,0.0,,3
Q93_2,categorical,error in name (partial name given is accepted),"no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q93.png,72.8515625,2.587800369685767,9,3
Q92_2,categorical,"incomplete, irrelevant, or no answer","no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q92.png,72.8515625,0.1848428835489834,8,3
Q363_2,categorical,the past 3 to 4 years ,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q363.png,72.16796875,0.9242144177449169,"8,9",3
Q364_2,categorical,the past 5 to 10 years ,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q364.png,72.0703125,1.1090573012939,"8,9",3
Q362_2,categorical,the past 2 years ,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q362.png,72.0703125,0.9242144177449169,"8,9",3
Q365_2,categorical,the past 10 years ,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q365.png,72.0703125,1.1090573012939,"8,9",3
Q243_2,categorical,the depressed mood/ crying presisted at least for two consecutive weeks in the last month,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q243.png,66.015625,0.9242144177449169,"8,9",3
Q241_2,categorical,"the depression, crying, or feeling the need to cry lasts for more than few hours ","no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q241.png,66.015625,0.7393715341959335,"8,9",3
Q242_2,categorical,"the depression, crying, or feeling the need to cry is present most of the time","no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q242.png,65.91796875,0.9242144177449169,"8,9",3
Q272_2,ordinal,the depression lasts for hours even when seeing visitors or being intertained,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q272.png,65.8203125,1.66358595194085,"8,9",4
Q262_2,categorical,mostly in the afternoon,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q262.png,65.72265625,2.402957486136784,"8,9",3
Q263_2,categorical,mostly at night,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q263.png,65.72265625,2.2181146025878,"8,9",3
Q251_2,ordinal,Fluctuating mood ,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q251.png,65.72265625,1.1090573012939,"8,9",4
Q261_2,categorical,mostly during the day/morning,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q261.png,65.72265625,2.033271719038817,"8,9",3
Q271_2,categorical,nothing helps soothing the changing mood,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q271.png,65.72265625,2.2181146025878,"8,9",3
Q741_2,categorical,Began or worsened during the past three months.,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q741.png,61.62109375,1.848428835489834,"8,9",3
Q752_2,categorical,Slowing down and lacking energy is worst in the evening.,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q752.png,61.62109375,3.512014787430684,"8,9",3
Q761_2,categorical,does not get decreased in the presence of fun activities normally.,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q761.png,61.5234375,2.957486136783734,"8,9",3
Q751_2,categorical,Slowing down and lacking energy is worst in the morning.,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q751.png,61.5234375,2.77264325323475,"8,9",3
Q771_2,categorical,Sits or lies down due to lack of energy,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q771.png,61.5234375,1.293900184842884,"8,9",4
Q753_2,ordinal,Slowing down exists most days for at least for two weeks.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q753.png,61.5234375,2.2181146025878,"8,9",4
Q1451_2,categorical,"Because of agitation, depression, self-admiration, etc.","no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1451.png,58.88671875,0.0,,3
Q1452_2,categorical,Due to memory failure,"no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1452.png,58.7890625,0.0,,3
Q1453_2,categorical,"Mistakes were made during partial consciousness (ie, the participant was falling asleep, under the influence of alcohol, drugs or delirium due to severe physical illness).","no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1453.png,58.69140625,0.0,,3
Q1454_2,categorical,"The participant's reaction to mistakes was characterized by joy, indifference, or lightness.","no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1454.png,58.69140625,0.0,,3
Q163_2,categorical,worries about the financial status of the spouse (including rent),"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q163.png,53.80859375,0.5545286506469501,"8,9",3
Q142_2,categorical,the participant worries in general about everything ,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q142.png,53.7109375,0.3696857670979667,8,3
Q164_2,categorical,worries about family problems (other than health),"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q164.png,53.61328125,0.7393715341959335,"8,9",3
Q151_2,categorical,unwarranted worry that comes repeatedly and cannot be stopped,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q151.png,53.61328125,0.5545286506469501,8,3
Q141_2,categorical,worries a lot (on one or two things),"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q141.png,53.515625,0.3696857670979667,8,3
Q161_2,categorical,worries about the health of the spouse,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q161.png,53.22265625,0.5545286506469501,"8,9",3
Q162_2,categorical,worries about the health of others,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q162.png,53.22265625,0.7393715341959335,"8,9",3
NPIHELP,categorical,Did you consult any doctor or specialist regarding any of the problems listed above?,"no,yes,don’t know ","0.0,1.0,98.0",0,98,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/NPIHELP.png,52.5390625,0.1848428835489834,98,2
