COLUMN,cut_off,description,erroneous,perc_erroneous
Q251_2,4,Fluctuating mood ,"8,9",1.1090573012939002
Q722_2,4,It exists most days for at least two weeks,8,1.1090573012939002
Q83_2,3,"incomplete, irrelevant, or no answer","8,9",1.1090573012939002
Q871_2,4,Admits feeling lonely,8,1.1090573012939002
Q365_2,3,the past 10 years ,"8,9",1.1090573012939002
Q364_2,3,the past 5 to 10 years ,"8,9",1.1090573012939002
Q351_2,4,"forgets the names of friends, family or calls them with other names ",8,1.1090573012939002
Q41_2,3,States or indicates by  gesture he/she does not know how old he/she is,9,1.1090573012939002
Q781_2,4,Elderly seems very slow in all moves,"8,9",0.9242144177449167
Q381_2,3,does not remember the name of the current prime minister (if wrong give the right answer: Tamam Salam) ,"8,9",0.9242144177449167
MEMORY_2,2,"We all have slight difficulties in remembering things as we get older, but has this been a particular problem for him/her?",98,0.9242144177449167
Q1233_2,4,"The participant claims to be farting. (If the answer is positive, evaluate it as ""yes, simple"" or ""yes, severe"")","8,9",0.9242144177449167
ageinfo,100,Age reported by informant:,"766,999",0.9242144177449167
Q501_2,4,describe the headache,"8,9",0.9242144177449167
Q11_2,3,Cannot repeat interviewer’s name correctly even after three repetitions,9,0.9242144177449167
Q363_2,3,the past 3 to 4 years ,"8,9",0.9242144177449167
Q243_2,3,the depressed mood/ crying presisted at least for two consecutive weeks in the last month,"8,9",0.9242144177449167
Q242_2,3,"the depression, crying, or feeling the need to cry is present most of the time","8,9",0.9242144177449167
Q531_2,3,Elderly has lost 10 pounds (4.5 kilograms) or more in the past three months,"8,9",0.9242144177449167
Q532_2,3,Elderly has lost 10 pounds (4.5 kilograms) or more during the past month,"8,9",0.9242144177449167
Q931_2,3,There are people like this,"8,9",0.9242144177449167
Q102_2,3,mentioned wrong events (not imaginary and not specific in a wrong way),9,0.9242144177449167
Q362_2,3,the past 2 years ,"8,9",0.9242144177449167
Q1211_2,4,Baffled by something strange happening,"8,9",0.9242144177449167
Q1041_2,4,"There is a clear sense of excessive guilt or self-blame over past and present mistakes (do not affirm positively any self-blame that is justified or simple.)
  ","8,9",0.9242144177449167
Q522_2,3,Anorexia has been present for most days for at least two weeks last month.,8,0.7393715341959335
Q1201_2,4,Describes an abnormal sensory experience,"8,9",0.7393715341959335
NPI4,2,Does your (xxxx) act as if he or she is sad or in low spirits? Does he or she cry?,98,0.7393715341959335
Q1153_2,4,Lose interest or enjoyment most days for at least two weeks last month.,"8,9",0.7393715341959335
Q1152_2,3,The decline in interests / enjoyment  has occurred over the past three months.,"8,9",0.7393715341959335
Q721_2,4,Listlessness or subjective   restriction of energy.,8,0.7393715341959335
Q391_2,3,does not remember the name of the past prime minister (if wrong give the right answer: Najib Mikati) ,"8,9",0.7393715341959335
Q1232_2,4,"Hallucinations are related to smell, for example the participant smells an odor or gas in the room, etc. which is not really present. (If the answer is positive, evaluate it as ""yes, simple"" or ""yes, severe"")","8,9",0.7393715341959335
Q533_2,3,Elderly gained 10 pounds (4.5 kilograms) or more during the past month,"8,9",0.7393715341959335
Q523_2,3,An increase in appetite for most days for at least two weeks last month.,8,0.7393715341959335
agepart,100,Age reported by participant:,999,0.7393715341959335
NPI5,2,"Does your (xxxx) become upset when separated from you? Does he or she have any other signs of nervousness, such as shortness of breath, sighing, being unable to relax, or feeling excessively tense?",98,0.7393715341959335
Q241_2,3,"the depression, crying, or feeling the need to cry lasts for more than few hours ","8,9",0.7393715341959335
Q111_2,3,observation: the participant speaks without a purpose. Did not get to the point being made,9,0.7393715341959335
Q911_2,4,Has this feeling,"8,9",0.7393715341959335
Q164_2,3,worries about family problems (other than health),"8,9",0.7393715341959335
Q162_2,3,worries about the health of others,"8,9",0.7393715341959335
Q82_2,3,the participant says/points our that he/she doesn't know,"8,9",0.7393715341959335
Q211_2,4,depressed mood,8,0.7393715341959335
Q1741_2,4,Vague quality to speech.  No completion of a thought or idea.,9,0.5545286506469501
Q81_2,3,participant gave the wrong or incomplete address,"8,9",0.5545286506469501
NPI2,2,Does your (xxxx) act as if he or she hears voices? Does he or she talk to people who are not there?,98,0.5545286506469501
Q161_2,3,worries about the health of the spouse,"8,9",0.5545286506469501
Q51_2,3,the participant shows clear hesitation when indicating age and year of birth,"8,9",0.5545286506469501
Q163_2,3,worries about the financial status of the spouse (including rent),"8,9",0.5545286506469501
Q1742_2,4,"Patient talks fairly freely, but vaguely and ambiguously so that ideas communicated are not clear - vague wandering from idea to idea or point to point, e.g.
Question:  
HOW DO YOU LIKE IT IN THE HOSPITAL?
Response:  
WELL, or ….NOT QUITE THE SAME AS, OR …DO NOT QUITE KNOW HOW TO SAY IT.  IT IS NOT THE SAME, BEING IN HOSPITAL AS, or....WORKING. ER….THE JOB IS NOT QUITE THE SAME or… VERY MUCH THE SAME, BUT OF COURSE, IT IS NOT EXACTLY THE SAME.",9,0.5545286506469501
Q1221_2,4,Physical hallucinations,"8,9",0.5545286506469501
Q1151_2,4,Gradually declining interests / enjoyment over the years.,"8,9",0.5545286506469501
Q151_2,3,unwarranted worry that comes repeatedly and cannot be stopped,8,0.5545286506469501
NPIADV,2,Did the doctor or specialist give any advice?,98,0.5545286506469501
Q17922_2,3,"Patient appears generally sleepy, but does not actually fall asleep.","8,9",0.5545286506469501
Q1743_2,4,"Irrelevance:  whole content of answer may have little to do with the question.  (Do not include wandering or rambling from the topic, or incoherence).",9,0.5545286506469501
Q1241_2,4,"A bad taste, not necessarily due to hallucination, for example, bitter taste. ","8,9",0.5545286506469501
Q371_2,3,does not remember well the interviewer's name (little mistakes are tolerable) ,9,0.5545286506469501
Q521_2,3,weak appetite in the absence of any known health condition and without nausea ,8,0.5545286506469501
Q512_2,4,increased appetite,8,0.5545286506469501
Q511_2,4,loss or decreased appetite ,8,0.5545286506469501
Q1052_2,4,Feeling disturbed for most of the days during at least two weeks last month,8,0.5545286506469501
Q1061_2,4,Participant is angry with him/herself,8,0.5545286506469501
Q901_2,4,Feels disturbed,"8,9",0.5545286506469501
NPI10,2,"Does your (xxxx) engage in repetitive activities, such as pacing around the house, handling buttons, wrapping string, or doing other things repeatedly?",98,0.5545286506469501
Q1051_2,4,Participant admits to feel annoyed (angry),8,0.5545286506469501
Q1242_2,4,Hallucinations related to taste,"8,9",0.5545286506469501
Q301_2,3,already contemplated the idea of suicide or wished for death,8,0.5545286506469501
NPI12,2,"Has your (xxxx) lost or gained weight, or had a change in the food he she likes? ",98,0.5545286506469501
Q881_2,3,elderly feels loneliness and can not escape it.,8,0.5545286506469501
Q1751_2,4,"rate of speech: Extremely rapid speech, but can be interrupted.",9,0.3696857670979667
Q1752_2,4,"Pressure of speech:  too many words, rapid and keeps resisting interruption.",9,0.3696857670979667
Q1745_2,4,Rambling:  talks in an aimless fashion.  Object in view at the beginning is not reached.,9,0.3696857670979667
Q1744_2,4,"Circumstantial:  much unnecessary detail, but the object in view at the beginning is ultimately reached.",9,0.3696857670979667
Q1753_2,4,"Flight of ideas:  one idea suggests another in rapid succession, so that patient is soon far from the point, e.g.
Question:  
WHAT IS THE TIME?
Response:  
IT IS THREE O'CLOCK BY MY H. SAMUEL EVERRIGHT GOLD WATCH, BUT IT IS NOT ON THE GOLD STANDARD, WAVE 
THE FLAGS A LIFE ON THE BRINY WAVE.",9,0.3696857670979667
Q1754_2,4,Speech very slow.  Distinct pauses between words.,9,0.3696857670979667
Q1561_2,5,"In general, how happy are you: very happy, reasonably happy, not too happy, not happy at all?",8,0.3696857670979667
Q1671_2,4,"UNCO-OPERATIVE, ETC.: Tries to start an argument.",9,0.3696857670979667
Q1161_2,3,Depressed and very tense.,"8,9",0.3696857670979667
Q1703_2,4,"Parkinsonian movements (characteristic repeated regular tremor of the hands at rest.  Described as 'pill rolling', as if the interviewee was rolling a pill between the thumb and finger tips).",9,0.3696857670979667
Q17911_2,3,Other.,9,0.3696857670979667
Q17912_2,3,Low intelligence.,9,0.3696857670979667
Q17920_2,3,"Interview conditions unfavourable, e.g. noisy, distracting environment.",9,0.3696857670979667
Q17910_2,3,Weakness - severe.,9,0.3696857670979667
Q991_2,5,"Do you think you could be mistaken?
Elderly does not believe he/she is mistaken",9,0.3696857670979667
Q1798_2,3,Stuttering.,9,0.3696857670979667
Q1582_2,4,The eyes are wet: filled with tears or crying,8,0.3696857670979667
Q1796_2,3,Deafness - severe.,9,0.3696857670979667
Q1795_2,3,Dysarthria (due to speech organs) e.g. coarse tremor of the tongue or paralysis of vocal chords.,9,0.3696857670979667
Q1792_2,3,Unclear dialect or accent.,9,0.3696857670979667
Q1791_2,3,Foreign language e.g. poor command of language in which interview is conducted interpreter required.,"8,9",0.3696857670979667
Q1801_2,3,"Memory defect (clear-cut) e.g. disorientated, gross memory loss, clear-cut blackout, etc.","8,9",0.3696857670979667
Q1634_2,4,No appropriate emotion shown when delusional or normal material is discussed which would usually bring out emotion,9,0.3696857670979667
Q1635_2,4,"Uniform blunting of mood, 
whatever the tone of conversation (indifference, apathetic acceptance).",9,0.3696857670979667
Q1351_2,3,Note ** The participant is taking a doctor-prescribed medication to treat a mental problem,8,0.3696857670979667
Q1641_2,4,Uncontrollable short bouts of crying.,9,0.3696857670979667
Q1642_2,4,Uncontrollable short bouts of laughing.,9,0.3696857670979667
Q1651_2,4,"Elated, euphoric, even though perhaps changing to irritability or depression.",9,0.3696857670979667
Q1652_2,4,Infectious gaiety.,9,0.3696857670979667
Q1271_2,4,Says that he/she is testing visual perception in the absence of any identifiable external stimulus.,"8,9",0.3696857670979667
Q1661_2,4,"OTHER AFFECT: Facetious:  silly jokes, flippant remarks.",9,0.3696857670979667
Q1701_2,4,"Choreiform movements (continuous, purposeless, jerky, involuntary movements of the head, body or limbs while at rest)",9,0.3696857670979667
Q1231_2,4,Hallucinations have to do with smell,"8,9",0.3696857670979667
Q1702_2,4,"Athetoid movements (continuous, purposeless, slow writhing movements of tongue, jaws or limbs).",9,0.3696857670979667
Q1191_2,4, Note ** has a clear difficulty in focusing on the interview.,"8,9",0.3696857670979667
Q1011_2,3,"The elderly claims to be an official person or belonging to an organization (police, MI, KGB5 etc.)",9,0.3696857670979667
Q1012_2,3,"The elderly claims to be an ordinary person, known (celebraty) or unknown (not)",9,0.3696857670979667
Q581_2,3,"Difficulty is due to altered moods or thoughts, or tension (e.g. lies awake with depressed or anxious feelings or thoughts).","8,9",0.3696857670979667
Q1771_2,4,"Perseveration: Repeats answer inappropriately
e.g.      Question:  Weekday?
            Response: Tuesday
            Questions:  Month?
            Response:   Tuesday",9,0.3696857670979667
Q731_2,4,"Move less than usual.

",8,0.3696857670979667
Q882_2,3,Bothered or depressed by current loneliness.,8,0.3696857670979667
Q541_2,3,Problem sleeping or change in the sleeping pattern,8,0.3696857670979667
Q141_2,3,worries a lot (on one or two things),8,0.3696857670979667
Q142_2,3,the participant worries in general about everything ,8,0.3696857670979667
MUDDLED_2,2,Does his/her thinking ever seem muddled?                    ,"98,99",0.3696857670979667
NPI1,2,"Does your (xxxx) believe that others are stealing from him or her, or planning to harm him or her in some way?",98,0.3696857670979667
Q191_2,4,subjective fear or anxiety our of proportion to the event if any that provoked the feeling.,8,0.3696857670979667
Q1821_2,4,"Exaggeration or tendency to say yes, indiscriminately.",8,0.3696857670979667
NPI7,2,Does your (xxxx) seem less interested in his or her usual activities and plans of others?,98,0.3696857670979667
NPI8,2,"Does your (xxxx) seem to act impulsively? For example, does your (xxxx) talk to strangers as if he or she knows them, or does your (xxxx) say things that may hurt people’s feeling?",98,0.3696857670979667
NPI9,2,Is your (xxxx) impatient and cranky? Does he or she have difficulty coping with delays or waiting for planned activities?,98,0.3696857670979667
NPI11,2,"Does your (xxxx) awaken you during the night, rise too early in the morning, or take excessive naps during the day?",98,0.3696857670979667
Q971_2,4,The elderly believes in an unrealistic way that people deliberately attempt to annoy or hurt him/her,"8,9",0.3696857670979667
NPIMED,2,Did the doctor or specialist prescribe any medication?,98,0.3696857670979667
Q1802_2,3,"Memory defect (dubious) e.g. hazy recall, unconvincingly claims not to remember, makes little attempt to recall.",9,0.18484288354898334
Q1803_2,3,"Incoherent in clear consciousness (e.g. not sleepy) i.e. irrelevant or bizarre or random answers, disjointed ideas, gibberish, neologisms, perseveration, flight of ideas.",9,0.18484288354898334
Q1804_2,3,Keeps referring to delusions or hallucinations.,9,0.18484288354898334
Q1805_2,3,Incorporates interviewer in delusions.,9,0.18484288354898334
Q981_2,4,Elderly says he/she has a strong feeling about it,9,0.18484288354898334
Q313_2,3,felt like wanting to die for at least 2 weeks in the past month,9,0.18484288354898334
Q321_2,3,did attempt suicide ,9,0.18484288354898334
Q1371_2,3,Drink alcohol (in one form or another) at least five days a week,9,0.18484288354898334
Q1807_2,3,Speaks coherently to self; speaks to voices.,9,0.18484288354898334
Q1808_2,3,Cries uncontrollably.,9,0.18484288354898334
Q1809_2,3,"Pressure of speech (cannot be interrupted in the usual manner, talks the interviewer down).",9,0.18484288354898334
Q18010_2,3,Gross suspiciousness.,9,0.18484288354898334
Q18011_2,3,Other.,9,0.18484288354898334
Q312_2,3,during the last year,9,0.18484288354898334
Q982_2,4,Elderly says he/she deserves persecution.,9,0.18484288354898334
Q311_2,3,during the last month,9,0.18484288354898334
IRERROR_2,3,"Interviewer's evaluation: In the Direction or Memory section, did you record ""Yes"" (an indication of memory errors) or ""Not applicable"" frequently during the interview? Or was there a lot of ""not applicable"" in the rest of the interview? """,9,0.18484288354898334
Q92_2,3,"incomplete, irrelevant, or no answer",8,0.18484288354898334
Q18013_2,3,Suspicious.  Negativistic (clearly does the opposite of what the interviewer asks or expects).,9,0.18484288354898334
IRHOME_2,3,did the interview take place in the participant's home,9,0.18484288354898334
Q1781_2,4,Judgment: Problems with memory are more prominent than problems with thinking i.e. more difficulty with remembering things than working things out.,9,0.18484288354898334
Q1631_2,4,Face without expression. Does not show expressions during conversation.,9,0.18484288354898334
Q1632_2,4,Monotonous VOICE.  No play of expression in conversation.,9,0.18484288354898334
Q1633_2,4,No gesture accompanying speech,9,0.18484288354898334
LOSTOUT_2,5,Does he/she get lost in the community/road?,99,0.18484288354898334
MONEY_2,3,Has there been a change in his/her ability to handle money?,99,0.18484288354898334
NPI3,2,Is your (xxxx) stubborn and resistive to help from others?,98,0.18484288354898334
NPI6,2,Does your (xxxx) appear to feel too good or act excessively happy?,98,0.18484288354898334
NPIHELP,2,Did you consult any doctor or specialist regarding any of the problems listed above?,98,0.18484288354898334
Q18012_2,3,Mutism not specified as due to physical defect.,9,0.18484288354898334
Q1806_2,3,Posturing (maintains an unusual or odd position of any part of the body repeatedly or for several minutes at a time) bizarre behaviour.,9,0.18484288354898334
Q322_2,3,refused to be suicidal but wished for death because of feeling burdened by life,9,0.18484288354898334
Q18020_2,3,Other.,9,0.18484288354898334
Q18018_2,3,Pre-occupied with inner experiences which are not vocalised (unspecified pre-occupation).,9,0.18484288354898334
Q1307_2,3,Have there been hallucinations for a period of up to two weeks in the absence of clear symptoms of mood changes (ie before the appearance of symptoms or after they are gone),8,0.18484288354898334
Q18017_2,3,"Excited or agitated or obviously elated (cannot sit still, or frequently interrupts with fatuous jokes or remarks).",9,0.18484288354898334
Q711_2,4,"From his/her point of view, the elderly is slower in motion",8,0.18484288354898334
Q921_2,3,It may not be true,8,0.18484288354898334
Q922_2,3,Elderly considers it true,8,0.18484288354898334
Q923_2,3,Elderly is convinced that it is true,8,0.18484288354898334
Q951_2,3,"Elderly says ""it is their fault"", but the interviewer has doubts.",9,0.18484288354898334
Q952_2,3,"Elderly says ""it is their fault"", and the interviewer has no doubts.",9,0.18484288354898334
Q1042_2,4,The participant mentions to regret something from the past which may or may not be justified.,8,0.18484288354898334
Q961_2,4,The elderly believes it is true,9,0.18484288354898334
Q18014_2,3,Withdrawal or apparent apathy possibly due to indifference OR to deep depression.,9,0.18484288354898334
Q18015_2,3,"Over talkative, but not pressure of speech.",9,0.18484288354898334
Q1021_2,3,It is unlikely to be true but possible,8,0.18484288354898334
Q18016_2,3,Lack of insight.  Total denial of symptoms or illness.,9,0.18484288354898334
Q1002_2,4,The elderly believes that people are trying to cause him serious physical harm or to kill him/her.,9,0.18484288354898334
Q1001_2,4,"The elderly believes that people are trying to make him/her angry, frustrated or exploit him/her.",9,0.18484288354898334
Q18019_2,3,Distractibility (interviewee's attention is frequently drawn to trivial and irrelevant events in the environment).,9,0.18484288354898334
Q651_2,4,The elderly seems confused ,8,0.18484288354898334
Q551_2,3,"Difficulty in falling asleep.  If tablets taken, rate what interviewee feels would have happened without them.",9,0.18484288354898334
ACTIV_2,2,"Have you seen a change in his/her daily activities in the past several years? 
",99,0.18484288354898334
Q1306_2,4,"The content of delirium and / or hallucinations is fun, appreciative or great, and therefore fits in with the joyful mood.",8,0.18484288354898334
Q1305_2,4,"The content of delirium and / or hallucinations is annoying or oppressive, but does not provoke dissatisfaction thus it is compatible with depression.
",8,0.18484288354898334
Q1304_2,4,The interviewer seems indifferent or does not speak much about emotional reactions.,8,0.18484288354898334
Q1303_2,4,"Feel that the experiences are a worthy punishment.

",8,0.18484288354898334
Q1302_2,4,Feels with discontent that he/she does not deserve these experiences,8,0.18484288354898334
Q1301_2,4,Marked effective response,8,0.18484288354898334
Q1291_2,3,He/she thought it was real,8,0.18484288354898334
Q1281_2,3,The visions were made at a time when the participant was fully awake,8,0.18484288354898334
Q1251_2,4,Indicates that he/she hears voices in the absence of any external influence that can be defined,8,0.18484288354898334
Q452_2,3,"One or more body parts appear paralyzed in whole or in part, or there is a sign of paralysis on one side of the face.",8,0.18484288354898334
Q1755_2,4,Long pauses before replying a characteristic feature.,9,0.18484288354898334
LASTDAY_2,5,Does he/she forget what happened the day before?,,0.0
CONFNITE,,Does the elderly get confused during the night? Does he/she wander? speaks incomprehensible words?,,0.0
KEPT_2,5,Does he/she forget where things are usually kept?,,0.0
FAMNAME_2,5,Does he/she forget the names of members of the family?,,0.0
CONVERS_2,5,Does he/she forget what he/she wanted to say in the middle of the conversation?,,0.0
WORDFIND_2,5,When speaking does he/she have difficulty saying the right words?,,0.0
WORDWRG_2,5,Does he/she use the wrong words?,,0.0
PAST_2,5,Does he/she tend to talk about what happened long ago rather than the present?,,0.0
LASTSEE_2,5,Does he/she forget when he/she last saw you?,,0.0
Q1811_2,4,Rating,,0.0
PUT_2,5,Does he/she forget where he/she has put things?,,0.0
NOCTURN,1,Is loss or delirium worse at night or dusk?,,0.0
CONFDAY,,Does it happen during the day?,,0.0
CLOUDING,,Are there periods of more than 24 hours when the elderly is being alert at times and strayed at another times?,,0.0
ORIENT_2,5,Does he/she forget where he/she is?,,0.0
ENDIF_2,,interviewer code - is the total csid score 2 or less?            ,,0.0
Q1822_2,4,"Minimization or tendency to say no, indiscriminately.",,0.0
MISTAKE_2,,Does he/she ever mistake you (or other family or friends) for someone else? ,,0.0
TOILET_2,4,Does he/she have difficulty using the toilet? Does he/she wet or soil him/herself?,,0.0
DRESS_2,5,Does he/she have difficulty dressing?,,0.0
FRDNAME_2,5,Does he/she forget the names of friends?,,0.0
CHANGE_2,5,does he/she have difficulty in adjusting to change in her daily routine?,,0.0
MENTAL_2,2,Has there been a general decline in his/her mental functioning?  ,,0.0
CHORES_2,5,"Does he/she have difficulty performing household chores that he/she is used to do, such as preparing food or boiling a pot of tea?",,0.0
LOSTIN_2,5,"Does he/she get lost at home, e.g finding the toilet?",,0.0
CARENEED_2,2,The older person,,0.0
FEED_2,4,Does he/she have difficulty feeding him/herself? ,,0.0
IRDISCR_2,,"Interviewer rating: was there any discrepancy between stated birth date and stated age?
",,0.0
Q1621_2,4,Focus: obvious difficulties in listening to the interview.,,0.0
REPEAT_2,1,please repeat this proverb (it might be difficult to pronounce for some),,0.0
NRECALL_2,1,do you remember my name (interviewer's),,0.0
WORDIMM_2,3,"3-word list recall (boat, house, fish)",,0.0
TRIALNO_2,,number of trials needed by participant to remember all 3 words,,0.0
TOWN_2,1,what is the name of this city/village you are currently living in,,0.0
CHIEF_2,1,what is the name of the current president,,0.0
STREET_2,1,give me the names of 2 streets near your home,,0.0
STORE_2,1,where is the local market shop located,,0.0
ADDRESS_2,1,what is your homeaddress,,0.0
WORDDEL_2,3,do you remember the 3 word-list,,0.0
LONGMEM_2,1,what was the name of the elected president who was assasinated during the israeli occupation in 1982,,0.0
MONTH_2,1,In what month are we,,0.0
YEAR_2,1,in what year are we,,0.0
SEASON_2,1,in what season are we,,0.0
NOD_2,1,please move your head as if you are giving a nod,,0.0
POINT_2,1,can you point out to the window and the door in this room,,0.0
PAPER_2,,score of paper folding/ handling,,0.0
CIRCLE_2,1,score of drawing the circle,,0.0
RECALL_2,,number of words remembered correctly,,0.0
CHEMIST_2,1,where do we go to buy medicine/drugs,,0.0
Q1611_2,4,Social disturbance: It seems by looking at / listening to the participant that he/she is skeptical for no real reason,,0.0
PRAY_2,1,what do people do at the church/ mosque,,0.0
CKINCOM_2/1,,,,0.0
CKINCOM_2/2,,,,0.0
CKINCOM_2/3,,,,0.0
CKINCOM_2/4,,,,0.0
CKINCOM_2/5,,,,0.0
CKINCOM_2/6,,,,0.0
CKINCOM_2/7,,,,0.0
CKINCOM_2/8,,,,0.0
LEARN3_2,10,please repeat the words you can remember (third trial),,0.0
NAME_2,1,my name is x can you please repeat it,,0.0
PENCIL_2,1,what is this called (interviewer shows a pencil),,0.0
WATCH_2,1,what is this called (interviewer shows a watch),,0.0
CHAIR_2,1,what is this called (interviewer shows a chair),,0.0
SHOES_2,1,what is this called (interviewer shows a shoe),,0.0
ELBOW_2,1,what is this called (interviewer shows an elbow),,0.0
SHOULD_2,1,what is this called (interviewer shows a shoulder),,0.0
HAMMER_2,1,what is the function of a hammer,,0.0
PENTAG_2,1,score of drawing the pentagones,,0.0
