COLUMN,data_type,frequencies,perc_missing,cut_off,description,erroneous,perc_erroneous,%_outliers,outlier_vals,scaled_%_outliers,scaled_outlier_vals
ageinfo,numeric,"Counter({75.0: 20, 69.0: 16, 77.0: 15, 65.0: 14, 66.0: 13, 84.0: 12, 79.0: 11, 82.0: 11, 81.0: 11, 67.0: 10, 72.0: 10, 86.0: 9, 80.0: 9, 76.0: 8, 73.0: 8, 70.0: 8, 74.0: 8, 71.0: 8, 78.0: 7, 68.0: 7, 85.0: 6, 999.0: 4, 83.0: 4, 88.0: 2, 87.0: 2, 1941.0: 1, 1962.0: 1, 1952.0: 1, 89.0: 1, 95.0: 1, 766.0: 1, 90.0: 1, 96.0: 1})",76.46484375,100.0,Age reported by informant:,"766,999",0.9242144177449167,0.68359375,999.0 1941.0 1952.0 1962.0,0.68359375,0.49235635213495 0.988929889298893 0.9947285187137586 1.0
agedoc,numeric,"Counter({999.0: 16, 75.0: 15, 69.0: 14, 65.0: 13, 77.0: 12, 81.0: 11, 66.0: 11, 82.0: 10, 79.0: 10, 76.0: 9, 72.0: 8, 73.0: 8, 71.0: 8, 68.0: 7, 70.0: 7, 80.0: 7, 74.0: 7, 84.0: 7, 67.0: 7, 78.0: 6, 83.0: 6, 85.0: 6, 86.0: 5, 1951.0: 4, 1949.0: 4, 1934.0: 3, 1952.0: 2, 89.0: 2, 1946.0: 2, 1941.0: 2, 87.0: 2, 1940.0: 1, 1942.0: 1, 1930.0: 1, 1926.0: 1, 1932.0: 1, 1953.0: 1, 88.0: 1, 95.0: 1, 90.0: 1, 96.0: 1})",76.46484375,100.0,Age stated in document:,999,2.957486136783734,0.0,,0.0,
agepart,numeric,"Counter({75.0: 20, 65.0: 17, 69.0: 16, 80.0: 13, 70.0: 12, 77.0: 12, 79.0: 11, 67.0: 11, 66.0: 11, 76.0: 10, 72.0: 10, 84.0: 10, 81.0: 10, 82.0: 9, 73.0: 8, 68.0: 8, 74.0: 8, 71.0: 8, 78.0: 6, 86.0: 6, 85.0: 6, 999.0: 4, 83.0: 3, 87.0: 3, 89.0: 2, 88.0: 2, 1941.0: 1, 0.0: 1, 1952.0: 1, 95.0: 1, 90.0: 1})",76.46484375,100.0,Age reported by participant:,999,0.7393715341959335,0.5859375,999.0 1941.0 1952.0,0.5859375,0.5117827868852459 0.9943647540983607 1.0
Q93_2,categorical,"Counter({0.0: 238, 1.0: 26, 9.0: 14})",72.8515625,3.0,error in name (partial name given is accepted),9,2.5878003696857674,1.3671875,9.0,1.3671875,9.0
Q91_2,categorical,"Counter({0.0: 248, 1.0: 30})",72.8515625,3.0,the participant says/points our that he/she doesn't know the place or address,,0.0,0.0,,0.0,
Q92_2,categorical,"Counter({0.0: 249, 1.0: 28, 8.0: 1})",72.8515625,3.0,"incomplete, irrelevant, or no answer",8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q363_2,categorical,"Counter({0.0: 205, 1.0: 75, 8.0: 3, 9.0: 2})",72.16796875,3.0,the past 3 to 4 years ,"8,9",0.9242144177449167,0.48828125,8.0 9.0,0.48828125,8.0 9.0
Q364_2,categorical,"Counter({0.0: 247, 1.0: 33, 9.0: 3, 8.0: 3})",72.0703125,3.0,the past 5 to 10 years ,"8,9",1.1090573012939002,0.5859375,8.0 9.0,0.5859375,8.0 9.0
Q365_2,categorical,"Counter({0.0: 252, 1.0: 28, 9.0: 3, 8.0: 3})",72.0703125,3.0,the past 10 years ,"8,9",1.1090573012939002,0.5859375,8.0 9.0,0.5859375,8.0 9.0
Q362_2,categorical,"Counter({1.0: 141, 0.0: 140, 8.0: 3, 9.0: 2})",72.0703125,3.0,the past 2 years ,"8,9",0.9242144177449167,0.48828125,8.0 9.0,0.48828125,8.0 9.0
Q243_2,categorical,"Counter({0.0: 292, 1.0: 51, 8.0: 4, 9.0: 1})",66.015625,3.0,the depressed mood/ crying presisted at least for two consecutive weeks in the last month,"8,9",0.9242144177449167,0.48828125,8.0 9.0,0.48828125,8.0 9.0
Q241_2,categorical,"Counter({0.0: 176, 1.0: 168, 8.0: 3, 9.0: 1})",66.015625,3.0,"the depression, crying, or feeling the need to cry lasts for more than few hours ","8,9",0.7393715341959335,0.390625,8.0 9.0,0.390625,8.0 9.0
Q242_2,categorical,"Counter({0.0: 273, 1.0: 71, 8.0: 4, 9.0: 1})",65.91796875,3.0,"the depression, crying, or feeling the need to cry is present most of the time","8,9",0.9242144177449167,0.48828125,8.0 9.0,0.48828125,8.0 9.0
Q272_2,ordinal,"Counter({0.0: 299, 1.0: 37, 8.0: 7, 2.0: 5, 9.0: 2})",65.8203125,4.0,the depression lasts for hours even when seeing visitors or being intertained,"8,9",1.6635859519408502,0.87890625,8.0 9.0,0.87890625,8.0 9.0
Q271_2,categorical,"Counter({0.0: 301, 1.0: 38, 8.0: 8, 9.0: 4})",65.72265625,3.0,nothing helps soothing the changing mood,"8,9",2.2181146025878005,1.171875,8.0 9.0,1.171875,8.0 9.0
Q262_2,categorical,"Counter({0.0: 282, 1.0: 56, 8.0: 11, 9.0: 2})",65.72265625,3.0,mostly in the afternoon,"8,9",2.4029574861367835,1.26953125,8.0 9.0,1.26953125,8.0 9.0
Q263_2,categorical,"Counter({0.0: 224, 1.0: 115, 8.0: 10, 9.0: 2})",65.72265625,3.0,mostly at night,"8,9",2.2181146025878005,1.171875,8.0 9.0,1.171875,8.0 9.0
Q261_2,categorical,"Counter({0.0: 261, 1.0: 79, 8.0: 9, 9.0: 2})",65.72265625,3.0,mostly during the day/morning,"8,9",2.033271719038817,1.07421875,8.0 9.0,1.07421875,8.0 9.0
Q251_2,ordinal,"Counter({0.0: 195, 1.0: 143, 2.0: 7, 8.0: 4, 9.0: 2})",65.72265625,4.0,Fluctuating mood ,"8,9",1.1090573012939002,0.5859375,8.0 9.0,0.5859375,8.0 9.0
Q752_2,categorical,"Counter({0.0: 234, 1.0: 140, 8.0: 16, 9.0: 3})",61.62109375,3.0,Slowing down and lacking energy is worst in the evening.,"8,9",3.5120147874306835,1.85546875,8.0 9.0,1.85546875,8.0 9.0
Q741_2,categorical,"Counter({0.0: 252, 1.0: 131, 8.0: 7, 9.0: 3})",61.62109375,3.0,Began or worsened during the past three months.,"8,9",1.8484288354898333,0.9765625,8.0 9.0,0.9765625,8.0 9.0
Q771_2,categorical,"Counter({0.0: 250, 1.0: 123, 2.0: 14, 8.0: 5, 9.0: 2})",61.5234375,4.0,Sits or lies down due to lack of energy,"8,9",1.2939001848428835,0.68359375,8.0 9.0,0.68359375,8.0 9.0
Q753_2,ordinal,"Counter({0.0: 202, 1.0: 163, 2.0: 17, 8.0: 10, 9.0: 2})",61.5234375,4.0,Slowing down exists most days for at least for two weeks.,"8,9",2.2181146025878005,1.171875,8.0 9.0,1.171875,8.0 9.0
Q751_2,categorical,"Counter({0.0: 262, 1.0: 117, 8.0: 12, 9.0: 3})",61.5234375,3.0,Slowing down and lacking energy is worst in the morning.,"8,9",2.7726432532347505,1.46484375,8.0 9.0,1.46484375,8.0 9.0
Q761_2,categorical,"Counter({0.0: 303, 1.0: 75, 8.0: 15, 9.0: 1})",61.5234375,3.0,does not get decreased in the presence of fun activities normally.,"8,9",2.957486136783734,1.5625,8.0 9.0,1.5625,8.0 9.0
Q1451_2,categorical,"Counter({0.0: 347, 1.0: 74})",58.88671875,3.0,"Because of agitation, depression, self-admiration, etc.",,0.0,0.0,,0.0,
Q1452_2,categorical,"Counter({0.0: 244, 1.0: 178})",58.7890625,3.0,Due to memory failure,,0.0,0.0,,0.0,
Q1454_2,categorical,"Counter({0.0: 408, 1.0: 15})",58.69140625,3.0,"The participant's reaction to mistakes was characterized by joy, indifference, or lightness.",,0.0,1.46484375,1.0,1.46484375,1.0
Q1453_2,categorical,"Counter({0.0: 422, 1.0: 1})",58.69140625,3.0,"Mistakes were made during partial consciousness (ie, the participant was falling asleep, under the influence of alcohol, drugs or delirium due to severe physical illness).",,0.0,0.09765625,1.0,0.09765625,1.0
Q163_2,categorical,"Counter({0.0: 322, 1.0: 148, 8.0: 2, 9.0: 1})",53.80859375,3.0,worries about the financial status of the spouse (including rent),"8,9",0.5545286506469501,0.29296875,8.0 9.0,0.29296875,8.0 9.0
Q142_2,categorical,"Counter({0.0: 408, 1.0: 64, 8.0: 2})",53.7109375,3.0,the participant worries in general about everything ,8,0.3696857670979667,0.1953125,8.0,0.1953125,8.0
Q151_2,categorical,"Counter({0.0: 387, 1.0: 85, 8.0: 3})",53.61328125,3.0,unwarranted worry that comes repeatedly and cannot be stopped,8,0.5545286506469501,0.29296875,8.0,0.29296875,8.0
Q164_2,categorical,"Counter({0.0: 354, 1.0: 117, 8.0: 3, 9.0: 1})",53.61328125,3.0,worries about family problems (other than health),"8,9",0.7393715341959335,0.390625,8.0 9.0,0.390625,8.0 9.0
Q141_2,categorical,"Counter({1.0: 366, 0.0: 108, 8.0: 2})",53.515625,3.0,worries a lot (on one or two things),8,0.3696857670979667,0.1953125,8.0,0.1953125,8.0
Q162_2,categorical,"Counter({1.0: 326, 0.0: 149, 8.0: 3, 9.0: 1})",53.22265625,3.0,worries about the health of others,"8,9",0.7393715341959335,0.390625,8.0 9.0,0.390625,8.0 9.0
Q161_2,categorical,"Counter({1.0: 302, 0.0: 174, 8.0: 2, 9.0: 1})",53.22265625,3.0,worries about the health of the spouse,"8,9",0.5545286506469501,0.29296875,8.0 9.0,0.29296875,8.0 9.0
NPIHELP,categorical,"Counter({0.0: 472, 1.0: 13, 98.0: 1})",52.5390625,2.0,Did you consult any doctor or specialist regarding any of the problems listed above?,98,0.18484288354898332,0.09765625,98.0,0.09765625,98.0
Q1366_2,categorical,"Counter({0.0: 448, 1.0: 40})",52.34375,3.0,Other hypnotics and tranquilizers (eg hypnotic taking during nightime),,0.0,3.90625,1.0,3.90625,1.0
HASCONF_2,ordinal,"Counter({0.0: 611, 1.0: 31, 2.0: 16, 3.0: 3, 4.0: 1})",35.3515625,4.0,overall rating of confidence in data,,0.0,1.953125,2.0 3.0 4.0,1.953125,2.0 3.0 4.0
Q82_2,categorical,"Counter({0.0: 690, 1.0: 9, 9.0: 3, 8.0: 1})",31.34765625,3.0,the participant says/points our that he/she doesn't know,"8,9",0.7393715341959335,0.390625,8.0 9.0,0.390625,8.0 9.0
Q83_2,categorical,"Counter({0.0: 684, 1.0: 13, 8.0: 3, 9.0: 3})",31.34765625,3.0,"incomplete, irrelevant, or no answer","8,9",1.1090573012939002,0.5859375,8.0 9.0,0.5859375,8.0 9.0
Q81_2,categorical,"Counter({0.0: 681, 1.0: 19, 8.0: 2, 9.0: 1})",31.34765625,3.0,participant gave the wrong or incomplete address,"8,9",0.5545286506469501,0.29296875,8.0 9.0,0.29296875,8.0 9.0
ENDIF_2,boolean,"Counter({1.0: 470, 0.0: 247})",29.98046875,,interviewer code - is the total csid score 2 or less?            ,,0.0,0.0,,0.0,
NPI12,categorical,"Counter({0.0: 692, 1.0: 28, 98.0: 3})",29.39453125,2.0,"Has your (xxxx) lost or gained weight, or had a change in the food he she likes? ",98,0.5545286506469501,0.29296875,98.0,0.29296875,98.0
NPI2,categorical,"Counter({0.0: 724, 1.0: 3, 98.0: 3})",28.7109375,2.0,Does your (xxxx) act as if he or she hears voices? Does he or she talk to people who are not there?,98,0.5545286506469501,0.29296875,98.0,0.29296875,98.0
NPI1,categorical,"Counter({0.0: 723, 1.0: 5, 98.0: 2})",28.7109375,2.0,"Does your (xxxx) believe that others are stealing from him or her, or planning to harm him or her in some way?",98,0.3696857670979667,0.1953125,98.0,0.1953125,98.0
NPI3,categorical,"Counter({0.0: 714, 1.0: 15, 98.0: 1})",28.7109375,2.0,Is your (xxxx) stubborn and resistive to help from others?,98,0.18484288354898332,0.09765625,98.0,0.09765625,98.0
NPI5,categorical,"Counter({0.0: 710, 1.0: 16, 98.0: 4})",28.7109375,2.0,"Does your (xxxx) become upset when separated from you? Does he or she have any other signs of nervousness, such as shortness of breath, sighing, being unable to relax, or feeling excessively tense?",98,0.7393715341959335,0.390625,98.0,0.390625,98.0
