COLUMN,data_type,description,cat_options,val_range,min,max,distribution,perc_missing,perc_erroneous,erroneous,cut_off
ANIMALS_2,categorical,participant was able to mention the names of the animals during the one minute provided,"incorrect,correct ","0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,26.0,27.0,28.0,30.0,32.0,34.0,35.0,40.0",0,40,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/ANIMALS.png,0,136.2292052,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,30,32,34,35,40",1
WORDIMM_2,categorical,"3-word list recall (boat, house, fish)","did not remember any word,remembered one word,remembered 2 words,remembered 3 words","0.0,1.0,2.0,3.0",0,3,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/WORDIMM.png,0,0,,3
TRIALNO_2,numeric,number of trials needed by participant to remember all 3 words,,0.0-97.0,0,97,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/TRIALNO.png,0,0,,
TOWN_2,categorical,what is the name of this city/village you are currently living in,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/TOWN.png,0,0,,1
CHIEF_2,categorical,what is the name of the current president,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CHIEF.png,0,0,,1
STREET_2,categorical,give me the names of 2 streets near your home,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/STREET.png,0,0,,1
STORE_2,categorical,where is the local market shop located,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/STORE.png,0,0,,1
ADDRESS_2,categorical,what is your homeaddress,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/ADDRESS.png,0,0,,1
WORDDEL_2,categorical,do you remember the 3 word-list,"did not remember any word,remembered one word,remembered 2 words,remembered 3 words","0.0,1.0,2.0,3.0",0,3,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/WORDDEL.png,0,0,,3
LONGMEM_2,categorical,what was the name of the elected president who was assasinated during the israeli occupation in 1982,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/LONGMEM.png,0,0,,1
MONTH_2,categorical,In what month are we,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/MONTH.png,0,0,,1
YEAR_2,categorical,in what year are we,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/YEAR.png,0,0,,1
SEASON_2,categorical,in what season are we,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/SEASON.png,0,0,,1
NOD_2,categorical,please move your head as if you are giving a nod,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/NOD.png,0,0,,1
POINT_2,categorical,can you point out to the window and the door in this room,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/POINT.png,0,0,,1
PAPER_2,numeric,score of paper folding/ handling,,0.0-3.0,0,3,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/PAPER.png,0,0,,
CIRCLE_2,categorical,score of drawing the circle,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/CIRCLE.png,0,0,,1
PENTAG_2,categorical,score of drawing the pentagones,"incorrect,correct ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/PENTAG.png,0,0,,1
STORY_2,ordinal,score of repeating story,,"0.0,1.0,2.0,3.0,4.0,5.0,6.0",0,6,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/STORY.png,0,0,,
Q11_2,categorical,Cannot repeat interviewer’s name correctly even after three repetitions,"no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q11.png,0,0.924214418,9,3
Q21_2,categorical,Cannot spell both his/her first and last names correctly,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q21.png,0,15.34195933,"8,9",3
Q31_2,categorical,States or indicates by gesture he/she does not know what year he/she was born,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q31.png,0,1.293900185,"8,9",3
Q32_2,categorical,"year of birth is incomplete, irrelevant or no reply","no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q32.png,0,1.478743068,"8,9",3
Q41_2,categorical,States or indicates by  gesture he/she does not know how old he/she is,"no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q41.png,0,1.109057301,9,3
Q42_2,categorical,"age is incomplete, irrelevant or no reply","no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q42.png,0,1.293900185,9,3
Q71_2,ordinal,evaluate: there is an error in the date of the week provided,"no or normal ,error in one day,error in more than one day,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q71.png,0,4.436229205,"8,9",4
Q72_2,ordinal,evaluate: there is an error in the month provided ,"no or normal ,error in one month,error in more than one month,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q72.png,0,4.621072089,"8,9",4
Q73_2,categorical,evaluate: the participants says/points out that he doesn't know the month,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q73.png,0,2.402957486,"8,9",3
Q74_2,categorical,"evaluate: at least some answers are incomplete, irrelevant or no answer","no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q74.png,0,2.218114603,"8,9",3
Q75_2,ordinal,evaluate: error in the year provided,"no,yes,error in more than one year,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q75.png,0,4.066543438,"8,9",4
Q76_2,categorical,evaluate: the participant says/points out that he doesn't know the year,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q76.png,0,1.478743068,"8,9",3
IRHOME_2,categorical,did the interview take place in the participant's home,"no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/IRHOME.png,0,0.184842884,9,3
Q81_2,categorical,participant gave the wrong or incomplete address,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q81.png,0,0.554528651,"8,9",3
Q82_2,categorical,the participant says/points our that he/she doesn't know,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q82.png,0,0.739371534,"8,9",3
Q83_2,categorical,"incomplete, irrelevant, or no answer","no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q83.png,0,1.109057301,"8,9",3
Q101_2,categorical,"give a positive answer and a short explanation like ""you examined me yesterday"". This answer is wrong","no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q101.png,0,2.033271719,"8,9",3
Q102_2,categorical,mentioned wrong events (not imaginary and not specific in a wrong way),"no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q102.png,0,0.924214418,9,3
Q111_2,categorical,observation: the participant speaks without a purpose. Did not get to the point being made,"no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q111.png,0,0.739371534,9,3
Q171_2,categorical,do you have children,"no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q171.png,0,0,,3
Q181_2,categorical,depressed or bothered by the relationship with children,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q181.png,0,0.739371534,"8,9",3
Q191_2,ordinal,subjective fear or anxiety our of proportion to the event if any that provoked the feeling.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q191.png,0,0.369685767,8,4
Q201_2,ordinal,episode of anxiety which participant tries to terminate e.g. by running out of room.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q201.png,0,1.293900185,"8,9",4
Q211_2,ordinal,depressed mood,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q211.png,0,0.739371534,8,4
Q221_2,ordinal,Have you cried at all? How often? Has cried:,"no,crying happens more than once per week,crying happens almost daily or frequently ,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q221.png,0,1.478743068,"8,9",4
Q231_2,ordinal,Has felt like crying,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q231.png,0,0.739371534,8,4
Q281_2,categorical,felt life not worth living,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q281.png,0,2.033271719,8,4
Q291_2,categorical,not pessimistic but doesn’t have something to do/wait for (lives day by day),"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q291.png,0,2.58780037,"8,9",3
Q292_2,categorical,"is pessimistic, doesn’t see a future ahead/ the future is unbearable","no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q292.png,0,2.402957486,"8,9",3
Q293_2,categorical,genenral status of hoplessness or depression,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q293.png,0,2.58780037,"8,9",3
Q294_2,categorical,the circumstances of the participant explains the pessimism,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q294.png,0,3.14232902,"8,9",3
Q301_2,categorical,already contemplated the idea of suicide or wished for death,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q301.png,0,0.554528651,8,3
Q331_2,ordinal,"seems very nervous, worried, depressed or scared","Transient,clear, excessive but for some time,clear, excessive most times,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q331.png,0,1.478743068,"8,9",6
Q341_2,categorical,difficulties from his/her point of view; the memory problem is a true problem for him/her,"no,creates problems several times per week ,creates problems daily,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q341.png,0,1.293900185,8,4
Q351_2,categorical,"forgets the names of friends, family or calls them with other names ","no,creates problems several times per week ,creates problems daily,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q351.png,0,1.109057301,8,4
Q352_2,categorical,forgets were he/she puts stuff,"no,creates problems several times per week ,creates problems daily,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q352.png,0,1.293900185,"8,9",4
Q361_2,categorical,needs to make more efforts to remember things,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q361.png,0,2.218114603,"8,9",3
Q371_2,categorical,does not remember well the interviewer's name (little mistakes are tolerable) ,"no,yes,no answer,not applicable ","0.0,1.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q371.png,0,0.554528651,9,3
Q381_2,categorical,does not remember the name of the current prime minister (if wrong give the right answer: Tamam Salam) ,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q381.png,0,0.924214418,"8,9",3
Q391_2,categorical,does not remember the name of the past prime minister (if wrong give the right answer: Najib Mikati) ,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q391.png,0,0.739371534,"8,9",3
Q401_2,ordinal,the interviewer's believes that the elderly has a memory problem,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q401.png,0,0,,4
Q451_2,ordinal,"the elderly seems week, skinny, sick or disabled","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q451.png,0,0,,4
Q452_2,categorical,"One or more body parts appear paralyzed in whole or in part, or there is a sign of paralysis on one side of the face.","no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q452.png,0,0.184842884,8,3
Q481_2,ordinal,Gets worn out or exhausted during daytime or evening,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q481.png,0,1.293900185,8,4
Q491_2,ordinal,difficulty to relax,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q491.png,0,1.478743068,"8,9",4
Q501_2,ordinal,describe the headache,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q501.png,0,0.924214418,"8,9",4
Q502_2,ordinal,"describes the headacke as the product of nervous tension: tension around the head, tension, stiff neck","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q502.png,0,1.663585952,"8,9",4
Q511_2,ordinal,loss or decreased appetite ,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q511.png,0,0.554528651,8,4
Q512_2,ordinal,increased appetite,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q512.png,0,0.554528651,8,4
Q531_2,categorical,Elderly has lost 10 pounds (4.5 kilograms) or more in the past three months,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q531.png,0,0.924214418,"8,9",3
Q532_2,categorical,Elderly has lost 10 pounds (4.5 kilograms) or more during the past month,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q532.png,0,0.924214418,"8,9",3
Q533_2,categorical,Elderly gained 10 pounds (4.5 kilograms) or more during the past month,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q533.png,0,0.739371534,"8,9",3
Q541_2,categorical,Problem sleeping or change in the sleeping pattern,"no,yes,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q541.png,0,0.369685767,8,3
Q611_2,ordinal,"Palpitations (i.e. patient is conscious of his/her heartbeat which is not due to exercise, but usually accompanied by anxiety.","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q611.png,0,1.293900185,8,4
Q612_2,ordinal,Trembling or tremulous feeling due to anxiety.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q612.png,0,1.293900185,8,4
Q613_2,ordinal,Other physical manifestations of anxiety,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q613.png,0,1.293900185,8,4
Q621_2,ordinal,Subjective slowing in thinking.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q621.png,0,2.58780037,8,4
Q631_2,ordinal,Feeling confused,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q631.png,0,2.772643253,8,4
Q641_2,ordinal,Feels indecisive,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q641.png,0,2.033271719,"8,9",4
Q642_2,ordinal,"A feeling of confused thinking or hesitation is present for most days, for at least two weeks.","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q642.png,0,2.402957486,"8,9",4
Q643_2,ordinal,The feeling of not coping well with the daily routine.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q643.png,0,2.033271719,"8,9",4
Q644_2,ordinal,Lack of self-confidence,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q644.png,0,2.218114603,"8,9",4
Q651_2,ordinal,The elderly seems confused ,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q651.png,0,0.184842884,8,4
Q652_2,ordinal,Appears indecisive,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q652.png,0,0,,4
Q711_2,ordinal,"From his/her point of view, the elderly is slower in motion","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q711.png,0,0.184842884,8,4
Q721_2,ordinal,Listlessness or subjective   restriction of energy.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q721.png,0,0.739371534,8,4
Q722_2,ordinal,It exists most days for at least two weeks,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q722.png,0,1.109057301,8,4
Q731_2,ordinal,"Move less than usual.

","no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q731.png,0,0.369685767,8,4
Q781_2,ordinal,Elderly seems very slow in all moves,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q781.png,0,0.924214418,"8,9",4
Q871_2,ordinal,Admits feeling lonely,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q871.png,0,1.109057301,8,4
Q901_2,ordinal,Feels disturbed,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q901.png,0,0.554528651,"8,9",4
Q911_2,ordinal,Has this feeling,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q911.png,0,0.739371534,"8,9",4
Q931_2,categorical,There are people like this,"no,yes,no answer,not applicable ","0.0,1.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q931.png,0,0.924214418,"8,9",3
Q941_2,categorical,An unrealistic belief that there are people trying to upset or hurt him/her.,"no,yes,no answer,not applicable ","0.0,1.0",0,1,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q941.png,0,0,,3
Q1031_2,ordinal,It seems from looking at/ listening to the participant that he/she is overly skeptical,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0",0,2,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1031.png,0,0,,4
Q1041_2,ordinal,"There is a clear sense of excessive guilt or self-blame over past and present mistakes (do not affirm positively any self-blame that is justified or simple.)
  ","no,these symptoms remained for a month,these symptoms are incurable ,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1041.png,0,0.924214418,"8,9",4
Q1042_2,ordinal,The participant mentions to regret something from the past which may or may not be justified.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1042.png,0,0.184842884,8,4
Q1043_2,ordinal,Feeling excessive guilt or lack of self-value most days for at least two weeks.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1043.png,0,1.293900185,8,4
Q1044_2,ordinal,The imaginary feeling of lack of self-value and guilt most days.,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1044.png,0,1.293900185,8,4
Q1051_2,ordinal,Participant admits to feel annoyed (angry),"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1051.png,0,0.554528651,8,4
Q1052_2,ordinal,Feeling disturbed for most of the days during at least two weeks last month,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1052.png,0,0.554528651,8,4
Q1061_2,ordinal,Participant is angry with him/herself,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0",0,8,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1061.png,0,0.554528651,8,4
Q1131_2,ordinal,Participant has less interests in the past month than he/she usually has,"no,yes simple,yes severe,no answer,not applicable ","0.0,1.0,2.0,8.0,9.0",0,9,https://bitbucket.org/HiyamGh/dementia/src/master/distributions/Q1131.png,0,1.293900185,"8,9",4
