Feature,Importance,description
Q1706_2,0.0019666133230849463,"Obvious evidence of physical abnormality of the legs like arthritis, amputation, or gross swelling."
Q291_2,0.0019365649883253669,not pessimistic but doesn’t have something to do/wait for (lives day by day)
Q281_2,0.0019306558424088771,felt life not worth living
WORDWRG_2,0.0018518823176949567,Does he/she use the wrong words?
Q644_2,0.0018475432961399902,Lack of self-confidence
Q491_2,0.001833414635579711,difficulty to relax
Q1211_2,0.0018294642213806773,Baffled by something strange happening
Q1743_2,0.0018215082528712742,"Irrelevance:  whole content of answer may have little to do with the question.  (Do not include wandering or rambling from the topic, or incoherence)."
Q643_2,0.0017764743941146152,The feeling of not coping well with the daily routine.
NPI10,0.001770306841477872,"Does your (xxxx) engage in repetitive activities, such as pacing around the house, handling buttons, wrapping string, or doing other things repeatedly?"
Q352_2,0.0017490959709573683,forgets were he/she puts stuff
Q1191_2,0.0017320022340828415, Note ** has a clear difficulty in focusing on the interview.
Q1631_2,0.001707793724662244,Face without expression. Does not show expressions during conversation.
Q1041_2,0.0017061273050764905,"There is a clear sense of excessive guilt or self-blame over past and present mistakes (do not affirm positively any self-blame that is justified or simple.)
  "
Q1441_2,0.0016764468947806878,The interviewer believes that the participant has a drinking problem.
PENTAG_2,0.0016736359593845984,score of drawing the pentagones
Q621_2,0.0016693223016901637,Subjective slowing in thinking.
Q1051_2,0.0016636504614507862,Participant admits to feel annoyed (angry)
Q1351_2,0.0016388672922301977,Note ** The participant is taking a doctor-prescribed medication to treat a mental problem
Q294_2,0.0016064019731735497,the circumstances of the participant explains the pessimism
Q1754_2,0.0015883041995856844,Speech very slow.  Distinct pauses between words.
NPI6,0.001584694949679638,Does your (xxxx) appear to feel too good or act excessively happy?
Q1704_2,0.0015837709381907915,Obvious abnormality of walking.
Q931_2,0.0015761613453283898,There are people like this
Q42_2,0.0015409982770197555,"age is incomplete, irrelevant or no reply"
Q293_2,0.001540667032688,genenral status of hoplessness or depression
Q1755_2,0.0015153253166540637,Long pauses before replying a characteristic feature.
Q351_2,0.0014930553056587304,"forgets the names of friends, family or calls them with other names "
Q512_2,0.0014891383837534796,increased appetite
Q1801_2,0.0014626263013973273,"Memory defect (clear-cut) e.g. disorientated, gross memory loss, clear-cut blackout, etc."
Q1131_2,0.0014533121496642402,Participant has less interests in the past month than he/she usually has
Q1811_2,0.001356691445745432,Rating
NAME_2,0.0013161895435290774,my name is x can you please repeat it
Q1632_2,0.0012934497800782408,Monotonous VOICE.  No play of expression in conversation.
Q612_2,0.0012714855849833837,Trembling or tremulous feeling due to anxiety.
Q1742_2,0.0012108597089724301,"Patient talks fairly freely, but vaguely and ambiguously so that ideas communicated are not clear - vague wandering from idea to idea or point to point, e.g.
Question:  
HOW DO YOU LIKE IT IN THE HOSPITAL?
Response:  
WELL, or ….NOT QUITE THE SAME AS, OR …DO NOT QUITE KNOW HOW TO SAY IT.  IT IS NOT THE SAME, BEING IN HOSPITAL AS, or....WORKING. ER….THE JOB IS NOT QUITE THE SAME or… VERY MUCH THE SAME, BUT OF COURSE, IT IS NOT EXACTLY THE SAME."
Q611_2,0.0012076112365916813,"Palpitations (i.e. patient is conscious of his/her heartbeat which is not due to exercise, but usually accompanied by anxiety."
Q532_2,0.0011137824128067712,Elderly has lost 10 pounds (4.5 kilograms) or more during the past month
Q1391_2,0.000998298735191829,The participant admits that it is a problem
Q1061_2,0.0009822770815249061,Participant is angry with him/herself
Q1361_2,0.0009584028175056682,"Opium alkaloids, heroin, industrial analgesics similar to morphine (eg pythidine, methadone, dehydroquidine) and cocaine."
Q613_2,0.0009526211808874128,Other physical manifestations of anxiety
WATCH_2,0.0009326285888769717,what is this called (interviewer shows a watch)
PENCIL_2,0.0009127663937490194,what is this called (interviewer shows a pencil)
Q1641_2,0.0009030554168582422,Uncontrollable short bouts of crying.
Q1042_2,0.0008893862772743958,The participant mentions to regret something from the past which may or may not be justified.
SHOULD_2,0.0008844589229908709,what is this called (interviewer shows a shoulder)
Q1802_2,0.0008804831716953143,"Memory defect (dubious) e.g. hazy recall, unconvincingly claims not to remember, makes little attempt to recall."
Q1363_2,0.0008803510193638487,"Medicinal cannabis (cannabis, marijuana)"
Q1744_2,0.0008683842067617806,"Circumstantial:  much unnecessary detail, but the object in view at the beginning is ultimately reached."
Q292_2,0.0008476812303055563,"is pessimistic, doesn’t see a future ahead/ the future is unbearable"
Q642_2,0.0008193634550494313,"A feeling of confused thinking or hesitation is present for most days, for at least two weeks."
LOSTIN_2,0.0008168029253941634,"Does he/she get lost at home, e.g finding the toilet?"
Q102_2,0.0007903505295904976,mentioned wrong events (not imaginary and not specific in a wrong way)
Q1745_2,0.000773766296100715,Rambling:  talks in an aimless fashion.  Object in view at the beginning is not reached.
Q1771_2,0.0007570180726814052,"Perseveration: Repeats answer inappropriately
e.g.      Question:  Weekday?
            Response: Tuesday
            Questions:  Month?
            Response:   Tuesday"
Q531_2,0.000747930817455363,Elderly has lost 10 pounds (4.5 kilograms) or more in the past three months
Q1705_2,0.0007465685304747344,Obvious evidence of paralysis or stroke.
DRESS_2,0.000735651181925158,Does he/she have difficulty dressing?
Q1052_2,0.0007304325549665504,Feeling disturbed for most of the days during at least two weeks last month
Q1822_2,0.0007279490367366747,"Minimization or tendency to say no, indiscriminately."
Q1803_2,0.0007188880457434248,"Incoherent in clear consciousness (e.g. not sleepy) i.e. irrelevant or bizarre or random answers, disjointed ideas, gibberish, neologisms, perseveration, flight of ideas."
Q1381_2,0.0007159932455658729,He/she does this
Q1044_2,0.0006987532391246136,The imaginary feeling of lack of self-value and guilt most days.
Q1031_2,0.000692904178417137,It seems from looking at/ listening to the participant that he/she is overly skeptical
Q1795_2,0.0006773832212311749,Dysarthria (due to speech organs) e.g. coarse tremor of the tongue or paralysis of vocal chords.
Q1367_2,0.0006700144950259865,"Nerves tranquilizers (Valium, Liberium, etc.)"
Q1043_2,0.0006043220139073414,Feeling excessive guilt or lack of self-value most days for at least two weeks.
Q911_2,0.0005992413949150352,Has this feeling
NOD_2,0.0005829036900448651,please move your head as if you are giving a nod
Q1241_2,0.0005583373870681807,"A bad taste, not necessarily due to hallucination, for example, bitter taste. "
CHAIR_2,0.0005547448180673923,what is this called (interviewer shows a chair)
Q1371_2,0.000542242456643356,Drink alcohol (in one form or another) at least five days a week
Q1741_2,0.0005144686209650546,Vague quality to speech.  No completion of a thought or idea.
Q17910_2,0.0005102192366791205,Weakness - severe.
Q452_2,0.00047513628864948504,"One or more body parts appear paralyzed in whole or in part, or there is a sign of paralysis on one side of the face."
FEED_2,0.0004636155327302313,Does he/she have difficulty feeding him/herself? 
Q201_2,0.0004485746382935023,episode of anxiety which participant tries to terminate e.g. by running out of room.
Q1796_2,0.00042122508194522676,Deafness - severe.
Q1821_2,0.0004176886581259805,"Exaggeration or tendency to say yes, indiscriminately."
Q1652_2,0.00038299391036013855,Infectious gaiety.
Q1368_2,0.0003768291636036643,Other
POINT_2,0.000373577712875398,can you point out to the window and the door in this room
ADDRESS_2,0.00036643253465826935,what is your homeaddress
Q1703_2,0.00035424840440407673,"Parkinsonian movements (characteristic repeated regular tremor of the hands at rest.  Described as 'pill rolling', as if the interviewee was rolling a pill between the thumb and finger tips)."
Q301_2,0.00034820652324692067,already contemplated the idea of suicide or wished for death
Q1633_2,0.00033784746454755944,No gesture accompanying speech
Q1634_2,0.0003291762359922565,No appropriate emotion shown when delusional or normal material is discussed which would usually bring out emotion
Q1671_2,0.0003279524054736839,"UNCO-OPERATIVE, ETC.: Tries to start an argument."
SHOES_2,0.0003261668283071263,what is this called (interviewer shows a shoe)
ELBOW_2,0.0003214870382922996,what is this called (interviewer shows an elbow)
HAMMER_2,0.00031775436836528696,what is the function of a hammer
Q1752_2,0.0003144265768019129,"Pressure of speech:  too many words, rapid and keeps resisting interruption."
Q1642_2,0.00030917000408405953,Uncontrollable short bouts of laughing.
Q1798_2,0.0002939834047399239,Stuttering.
Q1804_2,0.00027955945786206827,Keeps referring to delusions or hallucinations.
Q533_2,0.0002664136553469513,Elderly gained 10 pounds (4.5 kilograms) or more during the past month
Q18015_2,0.0002622607115697666,"Over talkative, but not pressure of speech."
Q1651_2,0.0002592209028572246,"Elated, euphoric, even though perhaps changing to irritability or depression."
Q1792_2,0.00025253085776899537,Unclear dialect or accent.
Q1271_2,0.0002496100195873693,Says that he/she is testing visual perception in the absence of any identifiable external stimulus.
PRAY_2,0.00024406177024828443,what do people do at the church/ mosque
Q1635_2,0.0002412809584076606,"Uniform blunting of mood, 
whatever the tone of conversation (indifference, apathetic acceptance)."
Q1242_2,0.00023466775778612523,Hallucinations related to taste
Q1702_2,0.00022957014867384197,"Athetoid movements (continuous, purposeless, slow writhing movements of tongue, jaws or limbs)."
Q1365_2,0.00022340181009494246,"Barbituric acid analgesic (Allobarbital, Amobarbital, Aprobarbital)"
Q1751_2,0.00022215737116982042,"rate of speech: Extremely rapid speech, but can be interrupted."
Q1201_2,0.00020683063448053273,Describes an abnormal sensory experience
Q1232_2,0.0002016086143388885,"Hallucinations are related to smell, for example the participant smells an odor or gas in the room, etc. which is not really present. (If the answer is positive, evaluate it as ""yes, simple"" or ""yes, severe"")"
Q17912_2,0.00020073838770076695,Low intelligence.
Q1808_2,0.0001973754464116122,Cries uncontrollably.
Q1806_2,0.00019503903813847603,Posturing (maintains an unusual or odd position of any part of the body repeatedly or for several minutes at a time) bizarre behaviour.
Q18017_2,0.00017520211300612847,"Excited or agitated or obviously elated (cannot sit still, or frequently interrupts with fatuous jokes or remarks)."
Q1807_2,0.00017133955779050325,Speaks coherently to self; speaks to voices.
Q1231_2,0.0001693751504817333,Hallucinations have to do with smell
Chin_2,0.00016465303050541252,what is this called (interviewer shows a chin)
Q1661_2,0.00013967324263510115,"OTHER AFFECT: Facetious:  silly jokes, flippant remarks."
Q18019_2,0.00012214645772223057,Distractibility (interviewee's attention is frequently drawn to trivial and irrelevant events in the environment).
Q1233_2,0.00011230659332812943,"The participant claims to be farting. (If the answer is positive, evaluate it as ""yes, simple"" or ""yes, severe"")"
Q1791_2,0.00010820753749748519,Foreign language e.g. poor command of language in which interview is conducted interpreter required.
Q1364_2,0.00010741962657267608,Other psychosocial stimulants (eg amphetamines / pep pills)
Q18020_2,9.312650948292544e-05,Other.
Q1809_2,8.942336653986454e-05,"Pressure of speech (cannot be interrupted in the usual manner, talks the interviewer down)."
Q1753_2,8.894060647381806e-05,"Flight of ideas:  one idea suggests another in rapid succession, so that patient is soon far from the point, e.g.
Question:  
WHAT IS THE TIME?
Response:  
IT IS THREE O'CLOCK BY MY H. SAMUEL EVERRIGHT GOLD WATCH, BUT IT IS NOT ON THE GOLD STANDARD, WAVE 
THE FLAGS A LIFE ON THE BRINY WAVE."
Q1251_2,8.437980820076869e-05,Indicates that he/she hears voices in the absence of any external influence that can be defined
Q17920_2,8.32135437278628e-05,"Interview conditions unfavourable, e.g. noisy, distracting environment."
Q1362_2,7.996880917502628e-05,"Heliosis (eg LSD, Mescaline)"
Q18018_2,7.400614864157787e-05,Pre-occupied with inner experiences which are not vocalised (unspecified pre-occupation).
Q111_2,6.92961149814686e-05,observation: the participant speaks without a purpose. Did not get to the point being made
Q1222_2,6.634624695933726e-05,"Illusions that involve sexual sensations, for example, from telepathy, an imaginary lover having sex with the participant during the night, etc.
(If the answer is positive, evaluate as ""yes, simple"" or  ""yes, severe"")."
Q1701_2,5.904945086272502e-05,"Choreiform movements (continuous, purposeless, jerky, involuntary movements of the head, body or limbs while at rest)"
Q17922_2,5.39944388961137e-05,"Patient appears generally sleepy, but does not actually fall asleep."
Q18014_2,3.909919665198496e-05,Withdrawal or apparent apathy possibly due to indifference OR to deep depression.
Q18016_2,3.9084441115895913e-05,Lack of insight.  Total denial of symptoms or illness.
Q18011_2,3.327563232418835e-05,Other.
Q18013_2,3.1529030687329606e-05,Suspicious.  Negativistic (clearly does the opposite of what the interviewer asks or expects).
Q18010_2,2.1764139831973393e-05,Gross suspiciousness.
Q1221_2,0.0,Physical hallucinations
Q17911_2,0.0,Other.
Q1805_2,0.0,Incorporates interviewer in delusions.
Q18012_2,0.0,Mutism not specified as due to physical defect.
