feature,MI
Q1233_2,0.007402409836018364
Q1242_2,0.007460968904654752
Q1634_2,0.007846272233503315
Q18016_2,0.00816004245282742
Q211_2,0.008305401918889732
Q1702_2,0.008352918282114041
PRAY_2,0.008600010354842258
WORDIMM_2,0.00865146907648584
Q1705_2,0.009007402508284912
Q191_2,0.009111186566614915
Q731_2,0.01002360621008469
CHEMIST_2,0.010050425452273526
Q1701_2,0.010062777436870451
Q221_2,0.010265746783140406
Q18017_2,0.010365943465279415
Q711_2,0.010501037005915093
Q1222_2,0.01077518992576687
Q293_2,0.011088304358039203
Q1642_2,0.011209232420100301
Q351_2,0.011300225783791307
ELBOW_2,0.011436619508328416
Q1706_2,0.011603533675278443
Q871_2,0.011668266974762753
Q644_2,0.01177932370511603
Q111_2,0.0121832637047401
Q1802_2,0.012206788784228317
Q1751_2,0.012336700973554438
Q1811_2,0.01245629968622719
Q1041_2,0.012641618686257239
Q1191_2,0.012704041018520185
Q781_2,0.012794538855867899
Q292_2,0.013079687511127647
Q361_2,0.013226764162183935
Q1798_2,0.013248890571303518
Q352_2,0.013447302845326137
Q1051_2,0.013593789079361596
TOILET_2,0.013691761050136586
Q171_2,0.0138669124972437
Q1641_2,0.014013856923080992
Q301_2,0.014296724190362875
Q721_2,0.014475617686552367
Q652_2,0.01449700198251902
Q1821_2,0.014867360984392564
Q331_2,0.015086254419232503
CHAIR_2,0.015134516395808983
Q1635_2,0.015151343383428051
Q1804_2,0.015409681704709799
HAMMER_2,0.015562847290892856
Q621_2,0.01565951113509345
Q1771_2,0.015713085352186518
Q1741_2,0.015998469550738248
Q1561_2,0.016042350229041213
Q531_2,0.016090850136575963
Q1631_2,0.016151052408602595
Q1633_2,0.016225321330867182
ACTIV_2,0.016441190180777276
Q18014_2,0.016689509213734688
Q1551_2,0.016740199347578644
Q931_2,0.01772371803891115
Q722_2,0.017986345267685167
NAME_2,0.019066521716750273
Q11_2,0.019079057745812644
Q541_2,0.019525931555447684
NOD_2,0.0195458087453797
Q1822_2,0.019711688709292297
Q18010_2,0.020565045161612838
Q83_2,0.020629432363147737
Q1754_2,0.020733522366812585
Q1753_2,0.02134860806491745
Q481_2,0.022598922764658802
PENTAG_2,0.022765253656876983
FEED_2,0.023047085509979137
Q451_2,0.02376034703750718
Q1742_2,0.0249281471313878
Q651_2,0.025261954019512034
POINT_2,0.026807330130226514
SHOULD_2,0.02682233987254201
Q491_2,0.028286554218988957
Q1743_2,0.028355965802763228
Q641_2,0.032127921329974996
Q42_2,0.03303117438398506
Q81_2,0.033703397048765016
LOSTIN_2,0.03487131512510633
CIRCLE_2,0.03636389012167851
SHOES_2,0.03772782663252339
PAPER_2,0.037820664580081376
Q371_2,0.038742539884596194
DRESS_2,0.03897470950124138
NPI2,0.04012168757217882
Q82_2,0.04116719545584013
Q1061_2,0.041397156398258694
Q631_2,0.04158853642577398
CHORES_2,0.0421977836196441
TRIALNO_2,0.0429714323847632
Q341_2,0.04417693941727885
LOSTOUT_2,0.04534705747808254
NPI9,0.0462080396034541
NPI1,0.04621046646280824
REPEAT_2,0.04656734738919499
NPI12,0.04709911383301235
HASCONF_2,0.047701888053731656
NPI11,0.048650253473194294
CHIEF_2,0.05001747787931765
FAMNAME_2,0.050170730700646704
Q1801_2,0.05176014637712667
MENTAL_2,0.05330191215427682
NPI10,0.05424130696752649
NPI5,0.055795666979626235
LONGMEM_2,0.05591485885422798
WORDWRG_2,0.05617688975721835
NPI3,0.06091790241893902
ANIMALS_2,0.06111430007991925
KEPT_2,0.06186452126795294
NPI7,0.06258307134111973
Q21_2,0.06407692063151704
Q71_2,0.06495076486086404
CHANGE_2,0.06632784369347244
Q41_2,0.0665054787428665
WORDFIND_2,0.06868721431867364
IRERROR_2,0.07006501438088852
NPI8,0.07022684357482101
NPI6,0.07093162607984516
NRECALL_2,0.07171416226595517
STREET_2,0.07290491458032444
STORE_2,0.07345985761908813
PAST_2,0.07402235736326546
NPI4,0.07717567464840291
ORIENT_2,0.07770050945029228
Q381_2,0.08037104263672701
SEASON_2,0.08066257576748037
Q391_2,0.0823658882320264
TOWN_2,0.08279910466157436
Q74_2,0.08562917391560254
Q1181_2,0.08877449746756372
Q32_2,0.08996503355881291
STORY_2,0.09375589787675631
Q31_2,0.09473159121796626
MUDDLED_2,0.09614297006619954
WORDDEL_2,0.09648168839680338
MONTH_2,0.10197798061526764
CONVERS_2,0.10342364230324663
Q72_2,0.10566326039870377
FRDNAME_2,0.10660405423569297
Q73_2,0.10917064378215247
Q1781_2,0.10974725769756266
CARENEED_2,0.11477136931932841
LEARN1_2,0.11679831550900577
MEMORY_2,0.1170985739966035
LEARN2_2,0.11755665348246347
REASON_2,0.11927336831492785
MONEY_2,0.1268563213573266
LASTSEE_2,0.13091682348678702
LEARN3_2,0.13258319304398936
YEAR_2,0.1386415805955037
Q401_2,0.1428363716012926
PUT_2,0.1451444832915023
Q76_2,0.14943402354755464
Q75_2,0.1518985891980884
RECALL_2,0.15858268820861499
LASTDAY_2,0.1589311706924923
